Year,sum,file,variable
1950,4194395736181760,boats_ipsl-cm6a-lr_nobasd_historical_nat_default_tcb_global_monthly_1950_2014.nc,tcb_unfished
1951,4159246204926370,boats_ipsl-cm6a-lr_nobasd_historical_nat_default_tcb_global_monthly_1950_2014.nc,tcb_unfished
1952,4116074281672320,boats_ipsl-cm6a-lr_nobasd_historical_nat_default_tcb_global_monthly_1950_2014.nc,tcb_unfished
1953,4116282941377810,boats_ipsl-cm6a-lr_nobasd_historical_nat_default_tcb_global_monthly_1950_2014.nc,tcb_unfished
1954,4153197815392930,boats_ipsl-cm6a-lr_nobasd_historical_nat_default_tcb_global_monthly_1950_2014.nc,tcb_unfished
1955,4118911418927010,boats_ipsl-cm6a-lr_nobasd_historical_nat_default_tcb_global_monthly_1950_2014.nc,tcb_unfished
1956,4092506551068100,boats_ipsl-cm6a-lr_nobasd_historical_nat_default_tcb_global_monthly_1950_2014.nc,tcb_unfished
1957,4066919936276210,boats_ipsl-cm6a-lr_nobasd_historical_nat_default_tcb_global_monthly_1950_2014.nc,tcb_unfished
1958,4041979021625110,boats_ipsl-cm6a-lr_nobasd_historical_nat_default_tcb_global_monthly_1950_2014.nc,tcb_unfished
1959,4079113714397230,boats_ipsl-cm6a-lr_nobasd_historical_nat_default_tcb_global_monthly_1950_2014.nc,tcb_unfished
1960,4072029444992050,boats_ipsl-cm6a-lr_nobasd_historical_nat_default_tcb_global_monthly_1950_2014.nc,tcb_unfished
1961,4064688898603300,boats_ipsl-cm6a-lr_nobasd_historical_nat_default_tcb_global_monthly_1950_2014.nc,tcb_unfished
1962,4010234665791580,boats_ipsl-cm6a-lr_nobasd_historical_nat_default_tcb_global_monthly_1950_2014.nc,tcb_unfished
1963,4026119991936270,boats_ipsl-cm6a-lr_nobasd_historical_nat_default_tcb_global_monthly_1950_2014.nc,tcb_unfished
1964,4042660709099360,boats_ipsl-cm6a-lr_nobasd_historical_nat_default_tcb_global_monthly_1950_2014.nc,tcb_unfished
1965,4023981479564850,boats_ipsl-cm6a-lr_nobasd_historical_nat_default_tcb_global_monthly_1950_2014.nc,tcb_unfished
1966,4048934502433960,boats_ipsl-cm6a-lr_nobasd_historical_nat_default_tcb_global_monthly_1950_2014.nc,tcb_unfished
1967,4045665038044980,boats_ipsl-cm6a-lr_nobasd_historical_nat_default_tcb_global_monthly_1950_2014.nc,tcb_unfished
1968,4058251693357060,boats_ipsl-cm6a-lr_nobasd_historical_nat_default_tcb_global_monthly_1950_2014.nc,tcb_unfished
1969,4046206314052660,boats_ipsl-cm6a-lr_nobasd_historical_nat_default_tcb_global_monthly_1950_2014.nc,tcb_unfished
1970,4089243946962440,boats_ipsl-cm6a-lr_nobasd_historical_nat_default_tcb_global_monthly_1950_2014.nc,tcb_unfished
1971,4092512332923170,boats_ipsl-cm6a-lr_nobasd_historical_nat_default_tcb_global_monthly_1950_2014.nc,tcb_unfished
1972,4064792871581220,boats_ipsl-cm6a-lr_nobasd_historical_nat_default_tcb_global_monthly_1950_2014.nc,tcb_unfished
1973,4037340467828340,boats_ipsl-cm6a-lr_nobasd_historical_nat_default_tcb_global_monthly_1950_2014.nc,tcb_unfished
1974,4082369706352570,boats_ipsl-cm6a-lr_nobasd_historical_nat_default_tcb_global_monthly_1950_2014.nc,tcb_unfished
1975,4079804062745530,boats_ipsl-cm6a-lr_nobasd_historical_nat_default_tcb_global_monthly_1950_2014.nc,tcb_unfished
1976,4046469080580260,boats_ipsl-cm6a-lr_nobasd_historical_nat_default_tcb_global_monthly_1950_2014.nc,tcb_unfished
1977,4060803084080510,boats_ipsl-cm6a-lr_nobasd_historical_nat_default_tcb_global_monthly_1950_2014.nc,tcb_unfished
1978,4081677337679440,boats_ipsl-cm6a-lr_nobasd_historical_nat_default_tcb_global_monthly_1950_2014.nc,tcb_unfished
1979,4086816973155700,boats_ipsl-cm6a-lr_nobasd_historical_nat_default_tcb_global_monthly_1950_2014.nc,tcb_unfished
1980,4050964366647140,boats_ipsl-cm6a-lr_nobasd_historical_nat_default_tcb_global_monthly_1950_2014.nc,tcb_unfished
1981,4011967569546150,boats_ipsl-cm6a-lr_nobasd_historical_nat_default_tcb_global_monthly_1950_2014.nc,tcb_unfished
1982,4061443110761220,boats_ipsl-cm6a-lr_nobasd_historical_nat_default_tcb_global_monthly_1950_2014.nc,tcb_unfished
1983,4092754386713500,boats_ipsl-cm6a-lr_nobasd_historical_nat_default_tcb_global_monthly_1950_2014.nc,tcb_unfished
1984,4115032329845750,boats_ipsl-cm6a-lr_nobasd_historical_nat_default_tcb_global_monthly_1950_2014.nc,tcb_unfished
1985,4197571348285220,boats_ipsl-cm6a-lr_nobasd_historical_nat_default_tcb_global_monthly_1950_2014.nc,tcb_unfished
1986,4196368244691700,boats_ipsl-cm6a-lr_nobasd_historical_nat_default_tcb_global_monthly_1950_2014.nc,tcb_unfished
1987,4141053923671790,boats_ipsl-cm6a-lr_nobasd_historical_nat_default_tcb_global_monthly_1950_2014.nc,tcb_unfished
1988,4114883184813060,boats_ipsl-cm6a-lr_nobasd_historical_nat_default_tcb_global_monthly_1950_2014.nc,tcb_unfished
1989,4032365394524590,boats_ipsl-cm6a-lr_nobasd_historical_nat_default_tcb_global_monthly_1950_2014.nc,tcb_unfished
1990,4074782222438210,boats_ipsl-cm6a-lr_nobasd_historical_nat_default_tcb_global_monthly_1950_2014.nc,tcb_unfished
1991,4091241739401040,boats_ipsl-cm6a-lr_nobasd_historical_nat_default_tcb_global_monthly_1950_2014.nc,tcb_unfished
1992,4079889780131010,boats_ipsl-cm6a-lr_nobasd_historical_nat_default_tcb_global_monthly_1950_2014.nc,tcb_unfished
1993,4080069309565770,boats_ipsl-cm6a-lr_nobasd_historical_nat_default_tcb_global_monthly_1950_2014.nc,tcb_unfished
1994,4078391149267960,boats_ipsl-cm6a-lr_nobasd_historical_nat_default_tcb_global_monthly_1950_2014.nc,tcb_unfished
1995,4077989912468930,boats_ipsl-cm6a-lr_nobasd_historical_nat_default_tcb_global_monthly_1950_2014.nc,tcb_unfished
1996,4051160267070620,boats_ipsl-cm6a-lr_nobasd_historical_nat_default_tcb_global_monthly_1950_2014.nc,tcb_unfished
1997,4040897398497510,boats_ipsl-cm6a-lr_nobasd_historical_nat_default_tcb_global_monthly_1950_2014.nc,tcb_unfished
1998,4072619409387260,boats_ipsl-cm6a-lr_nobasd_historical_nat_default_tcb_global_monthly_1950_2014.nc,tcb_unfished
1999,4054741939873010,boats_ipsl-cm6a-lr_nobasd_historical_nat_default_tcb_global_monthly_1950_2014.nc,tcb_unfished
2000,4011536223073640,boats_ipsl-cm6a-lr_nobasd_historical_nat_default_tcb_global_monthly_1950_2014.nc,tcb_unfished
2001,4024081702680850,boats_ipsl-cm6a-lr_nobasd_historical_nat_default_tcb_global_monthly_1950_2014.nc,tcb_unfished
2002,4038830299159920,boats_ipsl-cm6a-lr_nobasd_historical_nat_default_tcb_global_monthly_1950_2014.nc,tcb_unfished
2003,4053839169424600,boats_ipsl-cm6a-lr_nobasd_historical_nat_default_tcb_global_monthly_1950_2014.nc,tcb_unfished
2004,4073199441948870,boats_ipsl-cm6a-lr_nobasd_historical_nat_default_tcb_global_monthly_1950_2014.nc,tcb_unfished
2005,4003850816992860,boats_ipsl-cm6a-lr_nobasd_historical_nat_default_tcb_global_monthly_1950_2014.nc,tcb_unfished
2006,3956371919821610,boats_ipsl-cm6a-lr_nobasd_historical_nat_default_tcb_global_monthly_1950_2014.nc,tcb_unfished
2007,4005178385048980,boats_ipsl-cm6a-lr_nobasd_historical_nat_default_tcb_global_monthly_1950_2014.nc,tcb_unfished
2008,4029181476912100,boats_ipsl-cm6a-lr_nobasd_historical_nat_default_tcb_global_monthly_1950_2014.nc,tcb_unfished
2009,3970381076436020,boats_ipsl-cm6a-lr_nobasd_historical_nat_default_tcb_global_monthly_1950_2014.nc,tcb_unfished
2010,3922920938086850,boats_ipsl-cm6a-lr_nobasd_historical_nat_default_tcb_global_monthly_1950_2014.nc,tcb_unfished
2011,3972670448881620,boats_ipsl-cm6a-lr_nobasd_historical_nat_default_tcb_global_monthly_1950_2014.nc,tcb_unfished
2012,3952413831513100,boats_ipsl-cm6a-lr_nobasd_historical_nat_default_tcb_global_monthly_1950_2014.nc,tcb_unfished
2013,3940720187718360,boats_ipsl-cm6a-lr_nobasd_historical_nat_default_tcb_global_monthly_1950_2014.nc,tcb_unfished
2014,3989541382281310,boats_ipsl-cm6a-lr_nobasd_historical_nat_default_tcb_global_monthly_1950_2014.nc,tcb_unfished
2015,4013179342354970,boats_ipsl-cm6a-lr_nobasd_ssp585_nat_default_tcb_global_monthly_2015_2100.nc,tcb_unfished
2016,3951906458857230,boats_ipsl-cm6a-lr_nobasd_ssp585_nat_default_tcb_global_monthly_2015_2100.nc,tcb_unfished
2017,3896101084913060,boats_ipsl-cm6a-lr_nobasd_ssp585_nat_default_tcb_global_monthly_2015_2100.nc,tcb_unfished
2018,3900881533081360,boats_ipsl-cm6a-lr_nobasd_ssp585_nat_default_tcb_global_monthly_2015_2100.nc,tcb_unfished
2019,3909843206515250,boats_ipsl-cm6a-lr_nobasd_ssp585_nat_default_tcb_global_monthly_2015_2100.nc,tcb_unfished
2020,3926893966029510,boats_ipsl-cm6a-lr_nobasd_ssp585_nat_default_tcb_global_monthly_2015_2100.nc,tcb_unfished
2021,3892043528580240,boats_ipsl-cm6a-lr_nobasd_ssp585_nat_default_tcb_global_monthly_2015_2100.nc,tcb_unfished
2022,3911961155757720,boats_ipsl-cm6a-lr_nobasd_ssp585_nat_default_tcb_global_monthly_2015_2100.nc,tcb_unfished
2023,3946925689679860,boats_ipsl-cm6a-lr_nobasd_ssp585_nat_default_tcb_global_monthly_2015_2100.nc,tcb_unfished
2024,3949449704630650,boats_ipsl-cm6a-lr_nobasd_ssp585_nat_default_tcb_global_monthly_2015_2100.nc,tcb_unfished
2025,3920927089119840,boats_ipsl-cm6a-lr_nobasd_ssp585_nat_default_tcb_global_monthly_2015_2100.nc,tcb_unfished
2026,3926242031290680,boats_ipsl-cm6a-lr_nobasd_ssp585_nat_default_tcb_global_monthly_2015_2100.nc,tcb_unfished
2027,3923308850115080,boats_ipsl-cm6a-lr_nobasd_ssp585_nat_default_tcb_global_monthly_2015_2100.nc,tcb_unfished
2028,3893884690488330,boats_ipsl-cm6a-lr_nobasd_ssp585_nat_default_tcb_global_monthly_2015_2100.nc,tcb_unfished
