OCEAN,ID_mrgd,nm_mrgd,continent,fa_ffcl,fa_ffcl_notes,O_name_En_Website,Short_name_En_Website,Country_name,Continent_name,Continent_ID,ISO3_country,ISO3_territory
NA,8444,American Samoa Exclusive Economic Zone,Oceania,American Samoa,NA,American Samoa,American Samoa,United States of America,Oceania,OCE,USA,ASM
NA,8412,Anguilla Exclusive Economic Zone,Americas,Anguilla,NA,Anguilla,Anguilla,United Kingdom,America,AME,GBR,AIA
NA,8414,Antigua and Barbuda Exclusive Economic Zone,Americas,Antigua and Barbuda,NA,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,America,AME,ATG,ATG
NA,26519,Aruban Exclusive Economic Zone,Americas,Aruba,NA,Aruba,Aruba,Netherlands,America,AME,NLD,ABW
NA,8401,Clipperton Exclusive Economic Zone,Oceania,Clipperton Island,2 records,Clipperton Island,Clipperton Island,France,Oceania,OCE,FRA,PYF
NA,8364,Spanish Exclusive Economic Zone (Canary Islands),Europe,the Canary Islands,2 records,the Canary Islands,Canary Islands (the),Spain,Europe,EUR,ESP,ESP
NA,8363,Portuguese Exclusive Economic Zone (Madeira),Europe,the Madeira Islands,2 records,the Madeira Islands,Madeira Islands (the),Portugal,Europe,EUR,PRT,PRT
NA,8323,Australian Exclusive Economic Zone,Oceania,Australia,NA,Australia,Australia,Australia,Oceania,OCE,AUS,AUS
NA,62589,Chagos Archipelago Exclusive Economic Zone,Asia,the Chagos Archipelago,2 records,the Chagos Archipelago,Chagos Archipelago (the),Mauritius,Asia,ASI,MUS,MUS
NA,8418,Barbados Exclusive Economic Zone,Americas,Barbados,NA,Barbados,Barbados,Barbados,America,AME,BRB,BRB
NA,8457,Belizean Exclusive Economic Zone,Americas,Belize,NA,Belize,Belize,Belize,America,AME,BLZ,BLZ
NA,8402,Bermudian Exclusive Economic Zone,Americas,Bermuda,NA,Bermuda,Bermuda,United Kingdom,America,AME,GBR,BMU
NA,8443,Palmyra Atoll Exclusive Economic Zone,Oceania,Palmyra Atoll,2 records,Palmyra Atoll,Palmyra Atoll,United States of America,Oceania,OCE,USA,UMI
NA,8452,Johnston Atoll Exclusive Economic Zone,Oceania,Johnston Atoll,2 records,Johnston Atoll,Johnston Atoll,United States of America,Oceania,OCE,USA,UMI
NA,8319,Wake Island Exclusive Economic Zone,Oceania,Wake Island,2 records,Wake Island,Wake Island,United States of America,Oceania,OCE,USA,UMI
NA,22491,Bosnian and Herzegovinian Exclusive Economic Zone,Europe,Bosnia and Herzegovina,NA,Bosnia and Herzegovina,Bosnia and Herzegovina,Bosnia and Herzegovina,Europe,EUR,BIH,BIH
NA,26521,Bruneian Exclusive Economic Zone,Asia,Brunei Darussalam,NA,Brunei Darussalam,Brunei Darussalam,Brunei Darussalam,Asia,ASI,BRN,BRN
NA,8493,Canadian Exclusive Economic Zone,Americas,Canada,NA,Canada,Canada,Canada,America,AME,CAN,CAN
NA,8309,Christmas Island Exclusive Economic Zone,Oceania,Christmas Island,NA,Christmas Island,Christmas Island,Australia,Oceania,OCE,AUS,CXR
NA,26517,Cura√ßaoan Exclusive Economic Zone,Americas,Curaçao,NA,Curaçao,Curaçao,NA,NA,NA,NA,CUW
NA,8462,French Guiana Exclusive Economic Zone,Americas,French Guiana,NA,French Guiana,French Guiana,France,America,AME,FRA,GUF
NA,8440,French Polynesian Exclusive Economic Zone,Oceania,French Polynesia,NA,French Polynesia,French Polynesia,France,Oceania,OCE,FRA,PYF
NA,8442,Jarvis Island Exclusive Economic Zone,Oceania,Jarvis Island,2 records,Jarvis Island,Jarvis Island,United States of America,Oceania,OCE,USA,UMI
NA,5678,Georgian Exclusive Economic Zone,Europe,Georgia,NA,Georgia,Georgia,Georgia,Europe,EUR,GEO,GEO
NA,8438,Greenlandic Exclusive Economic Zone,Americas,Greenland,NA,Greenland,Greenland,Denmark,--,--,DNK,GRL
NA,8419,Grenadian Exclusive Economic Zone,Americas,Grenada,NA,Grenada,Grenada,Grenada,America,AME,GRD,GRD
NA,33177,Guadeloupean Exclusive Economic Zone,Americas,Guadeloupe,NA,Guadeloupe,Guadeloupe,France,America,AME,FRA,GLP
NA,48957,Guam Exclusive Economic Zone,Oceania,Guam,NA,Guam,Guam,United States of America,Oceania,OCE,USA,GUM
