"","OCEAN","ID_mrgd","nm_mrgd","continent_map","fa_ffcl"
"1","Pacific",81,"Pacific, Southwest",NA,NA
"2","Pacific",67,"Pacific, Northeast",NA,NA
"3","Atlantic",27,"Atlantic, Northeast",NA,NA
"4","Southern Ocean",58,"Indian Ocean, Antarctic",NA,NA
"5","Southern Ocean",48,"Atlantic, Antarctic",NA,NA
"6","Southern Ocean",88,"Pacific, Antarctic",NA,NA
"7","Atlantic",47,"Atlantic, Southeast",NA,NA
"8","Arctic",18,"Arctic Sea",NA,NA
"9","Atlantic",34,"Atlantic, Eastern Central",NA,NA
"10","Pacific",61,"Pacific, Northwest",NA,NA
"11","Atlantic",41,"Atlantic, Southwest",NA,NA
"12","Atlantic",21,"Atlantic, Northwest",NA,NA
"13","Pacific",71,"Pacific, Western Central",NA,NA
"14","Indian",51,"Indian Ocean, Western",NA,NA
"15","Atlantic",31,"Atlantic, Western Central",NA,NA
"16","Pacific",87,"Pacific, Southeast",NA,NA
"17","Indian",57,"Indian Ocean, Eastern",NA,NA
"18","Pacific",77,"Pacific, Eastern Central",NA,NA
"19",NA,8444,"American Samoa Exclusive Economic Zone","Oceania","American Samoa"
"20",NA,8379,"Ascension Exclusive Economic Zone","Africa","Ascension, Saint Helena and Tristan da Cunha"
"21",NA,8446,"Cook Islands Exclusive Economic Zone","Oceania","the Cook Islands"
"22",NA,8389,"Overlapping claim Falkland / Malvinas Islands: UK / Argentina","Americas",NA
"23",NA,8440,"French Polynesian Exclusive Economic Zone","Oceania","French Polynesia"
"24",NA,8439,"Pitcairn Islands Exclusive Economic Zone","Oceania","Pitcairn"
"25",NA,8380,"St. Helena Exclusive Economic Zone","Africa","Ascension, Saint Helena and Tristan da Cunha"
"26",NA,8445,"Samoan Exclusive Economic Zone","Oceania","the Independent State of Samoa"
"27",NA,8448,"Tongan Exclusive Economic Zone","Oceania","the Kingdom of Tonga"
"28",NA,8382,"Tristan Da Cunha Exclusive Economic Zone","Africa","Ascension, Saint Helena and Tristan da Cunha"
"29",NA,8465,"Chilean Exclusive Economic Zone","Americas","the Republic of Chile"
"30",NA,8447,"Niue Exclusive Economic Zone","Oceania","Niue"
"31",NA,48961,"Joint regime area Argentina / Uruguay","Americas",NA
"32",NA,48962,"Joint regime area Peru / Ecuador","Americas",NA
"33",NA,8467,"Uruguayan Exclusive Economic Zone","Americas","the Eastern Republic of Uruguay"
"34",NA,8449,"Tokelau Exclusive Economic Zone","Oceania","Tokelau"
"35",NA,8432,"Peruvian Exclusive Economic Zone","Americas","the Republic of Peru"
"36",NA,22756,"Chilean Exclusive Economic Zone (San Felix and San Ambrosio islands)","Americas","the Republic of Chile"
"37",NA,21787,"Chilean Exclusive Economic Zone (Easter Island)","Americas","the Republic of Chile"
"38",NA,8381,"Brazilian Exclusive Economic Zone (Trindade)","Americas","the Federative Republic of Brazil"
"39",NA,8450,"Kiribati Exclusive Economic Zone (Phoenix Islands)","Oceania","the Republic of Kiribati"
"40",NA,8466,"Argentinean Exclusive Economic Zone","Americas","the Argentine Republic"
"41",NA,8386,"Amsterdam Island & St. Paul Island Exclusive Economic Zone","Africa",NA
"42",NA,8309,"Christmas Island Exclusive Economic Zone","Oceania","Christmas Island"
"43",NA,8308,"Cocos Islands Exclusive Economic Zone","Oceania","the Cocos (Keeling) Islands"
"44",NA,8334,"Comoran Exclusive Economic Zone","Africa","the Union of the Comoros"
"45",NA,8385,"Crozet Islands Exclusive Economic Zone","Africa",NA
"46",NA,48944,"Overlapping claim Mayotte: France / Comoros","Africa",NA
"47",NA,48946,"Overlapping claim Ile Tromelin: Reunion / Madagascar / Mauritus",NA,NA
"48",NA,8388,"Heard and McDonald Islands Exclusive Economic Zone","Oceania","Heard Island and McDonald Islands"
"49",NA,8387,"Kerguelen Exclusive Economic Zone","Africa",NA
"50",NA,8348,"Madagascan Exclusive Economic Zone","Africa","the Republic of Madagascar"
"51",NA,8396,"South African Exclusive Economic Zone","Africa","the Republic of South Africa"
"52",NA,8312,"New Caledonian Exclusive Economic Zone","Oceania","New Caledonia"
"53",NA,8310,"Norfolk Island Exclusive Economic Zone","Oceania","Norfolk Island"
"54",NA,8343,"Mauritian Exclusive Economic Zone","Africa","the Republic of Mauritius"
"55",NA,8338,"Réunion Exclusive Economic Zone","Africa","Réunion"
"56",NA,8313,"Vanuatu Exclusive Economic Zone","Oceania","the Republic of Vanuatu"
"57",NA,8395,"Namibian Exclusive Economic Zone","Africa","the Republic of Namibia"
"58",NA,21791,"Oecussi Ambeno Exclusive Economic Zone","Asia",NA
"59",NA,8394,"Congolese Exclusive Economic Zone","Africa","the Republic of the Congo"
"60",NA,8478,"Angolan Exclusive Economic Zone","Africa","the Republic of Angola"
"61",NA,8347,"Mozambican Exclusive Economic Zone","Africa","the Republic of Mozambique"
"62",NA,8349,"Kenyan Exclusive Economic Zone","Africa","the Republic of Kenya"
"63",NA,21798,"Protected Zone established under the Torres Strait Treaty","Oceania",NA
"64",NA,8384,"South African Exclusive Economic Zone (Prince Edward Islands)","Africa",NA
"65",NA,8479,"Tanzanian Exclusive Economic Zone","Africa","the United Republic of Tanzania"
"66",NA,8314,"Solomon Islands Exclusive Economic Zone","Oceania","Solomon Islands"
"67",NA,8337,"Seychellois Exclusive Economic Zone","Africa","the Republic of Seychelles"
"68",NA,48945,"Overlapping claim Glorioso Islands: France / Madagascar",NA,NA
"69",NA,8341,"Ile Europa Exclusive Economic Zone","Africa",NA
"70",NA,48948,"Overlapping claim Matthew and Hunter Islands: New Caledonia / Vanuatu",NA,NA
"71",NA,8477,"Democratic Republic of the Congo Exclusive Economic Zone","Africa","the Democratic Republic of the Congo"
"72",NA,8323,"Australian Exclusive Economic Zone","Oceania","Australia"
"73",NA,8311,"Australian Exclusive Economic Zone (Macquarie Island)","Oceania","Australia"
"74",NA,8339,"Juan de Nova Exclusive Economic Zone","Africa",NA
"75",NA,8340,"Bassas da India Exclusive Economic Zone","Africa","the French Southern Territories"
"76",NA,33176,"Overlapping claim: Kenya / Somalia","Africa",NA
"77",NA,8758,"East Timorian Exclusive Economic Zone","Asia","the Democratic Republic of Timor-Leste"
"78",NA,8412,"Anguilla Exclusive Economic Zone","Americas","Anguilla"
"79",NA,8414,"Antigua and Barbuda Exclusive Economic Zone","Americas","Antigua and Barbuda"
"80",NA,26519,"Aruban Exclusive Economic Zone","Americas","Aruba"
"81",NA,8361,"Portuguese Exclusive Economic Zone (Azores)","Europe","the Portuguese Republic"
"82",NA,8404,"Bahamas Exclusive Economic Zone","Americas","the Commonwealth of the Bahamas"
"83",NA,8418,"Barbados Exclusive Economic Zone","Americas","Barbados"
"84",NA,8429,"Mexican Exclusive Economic Zone","Americas","the United Mexican States"
"85",NA,26520,"Bonaire Exclusive Economic Zone","Americas","Bonaire, Sint Eustatius and Saba"
