"","ISO3CD","ROMNAM","MAPLAB","Name_En","O_Name_En","M49","ISO_3","Country","Name_En_stefania","Official_Name_En_Stefania"
"1","BRN","Brunei Darussalam","Brunei Darussalam","Brunei Darussalam","Brunei Darussalam",96,"BRN","Brunei Darussalam","Brunei Darussalam","Brunei Darussalam"
"2","SWZ","Eswatini","Eswatini","Eswatini","the Kingdom of Eswatini",748,"SWZ","Eswatini","Eswatini","the Kingdom of Eswatini"
"3","GNQ","Equatorial Guinea","Equatorial Guinea","Equatorial Guinea","the Republic of Equatorial Guinea",226,"GNQ","Equatorial Guinea","Equatorial Guinea","the Republic of Equatorial Guinea"
"4","MAC","Macao","Macao, China","China, Macao SAR","China, Macao SAR",446,"CHN","China","China, Macao SAR","China, Macao Special Administrative Region"
"5","MTQ","Martinique","Martinique (Fr.)","Martinique","Martinique",474,"FRA","France","Martinique","Martinique"
"6","CIV","Cote dIvoire","CÔøΩte d'Ivoire","Cote dIvoire","the Republic of CÔøΩte d'Ivoire",384,"CIV","Cote dIvoire","Côte d'Ivoire","the Republic of Côte d'Ivoire"
"7","MRT","Mauritania","Mauritania","Mauritania","the Islamic Republic of Mauritania",478,"MRT","Mauritania","Mauritania","the Islamic Republic of Mauritania"
"8","TGO","Togo","Togo","Togo","the Togolese Republic",768,"TGO","Togo","Togo","the Togolese Republic"
"9","TUV","Tuvalu","Tuvalu","Tuvalu","Tuvalu",798,"TUV","Tuvalu","Tuvalu","Tuvalu"
"10","LKA","Sri Lanka","Sri Lanka","Sri Lanka","the Democratic Socialist Republic of Sri Lanka",144,"LKA","Sri Lanka","Sri Lanka","the Democratic Socialist Republic of Sri Lanka"
"11","BRB","Barbados","Barbados","Barbados","Barbados",52,"BRB","Barbados","Barbados","Barbados"
"12","AGO","Angola","Angola","Angola","the Republic of Angola",24,"AGO","Angola","Angola","the Republic of Angola"
"13","NFK","Norfolk Island","Norfolk Island (Aust.)","Norfolk Island","Territory of Norfolk Island",574,"AUS","Australia","Norfolk Island","Norfolk Island"
"14","CHN","China","China","China","the People's Republic of China",156,"CHN","China","China","the People's Republic of China"
"15","SLE","Sierra Leone","Sierra Leone","Sierra Leone","the Republic of Sierra Leone",694,"SLE","Sierra Leone","Sierra Leone","the Republic of Sierra Leone"
"16","COM","Comoros","Comoros","Comoros","the Union of the Comoros",174,"COM","Comoros","Comoros","the Union of the Comoros"
"17","KOR","Republic of Korea","Republic of Korea","Korea, Republic of","the Republic of Korea",410,"KOR","Korea, Republic of","Republic of Korea","the Republic of Korea"
"18","PYF","Clipperton Island","Clipperton Island","French Polynesia","French Polynesia",258,"FRA","France","French Polynesia","French Polynesia"
