"","O_name_En_Website","Short_name_En_Website","Country_name","Continent_name","Continent_ID","ISO3_country","ISO3_territory","O_Name_En_Emmanuel","O_Name_En_Stefania","Romname_Emmanuel","Maplab_Emmanuel","Short_name_En_Website2"
"1",NA,NA,"","Asia","ASI","xPI","xPI","",NA,"Paracel Islands","",NA
"2",NA,NA,"","Asia","ASI","xSR","xSR","",NA,"Scarborough Reef","",NA
"3",NA,NA,"","Asia","ASI","xSI","xSI","",NA,"Spratly Islands","",NA
"4",NA,NA,"","Asia","ASI","xAC","xAC","",NA,"Aksai Chin","",NA
"5",NA,NA,"","Africa","AFR","xAB","xAB","",NA,"Abyei","Abyei",NA
"6",NA,NA,"","Asia","ASI","xJK","xJK","",NA,"Jammu and Kashmir","Jammu and Kashmir **",NA
"7",NA,NA,"Afghanistan","Asia","ASI","AFG","AFG","The Islamic Republic of Afghanistan",NA,"Afghanistan","Afghanistan",NA
"8","the Republic of Albania","Albania","Albania","Europe","EUR","ALB","ALB","the Republic of Albania","the Republic of Albania","Albania","Albania","Albania"
"9","the People's Democratic Republic of Algeria","Algeria","Algeria","Africa","AFR","DZA","DZA","the People's Democratic Republic of Algeria","the People's Democratic Republic of Algeria","Algeria","Algeria","Algeria"
"10","the Principality of Andorra","Andorra","Andorra","Europe","EUR","AND","AND","the Principality of Andorra","the Principality of Andorra","Andorra","Andorra","Andorra"
"11","the Republic of Angola","Angola","Angola","Africa","AFR","AGO","AGO","the Republic of Angola","the Republic of Angola","Angola","Angola","Angola"
"12","Antarctica","Antarctica","Antarctica others","--","--","ATA","ATA","Antarctica","Antarctica","Antarctica","Antarctica","Antarctica"
"13","Antigua and Barbuda","Antigua and Barbuda","Antigua and Barbuda","America","AME","ATG","ATG","Antigua and Barbuda","Antigua and Barbuda","Antigua and Barbuda","Antigua and Barbuda","Antigua and Barbuda"
"14","the Argentine Republic","Argentina","Argentina","America","AME","ARG","ARG","the Argentine Republic","the Argentine Republic","Argentina","Argentina","Argentina"
"15","the Republic of Armenia","Armenia","Armenia","Asia","ASI","ARM","ARM","the Republic of Armenia","the Republic of Armenia","Armenia","Armenia","Armenia"
"16","Australia","Australia","Australia","Oceania","OCE","AUS","AUS","Australia","Australia","Australia","Australia","Australia"
"17","Australia","Australia","Australia","Oceania","OCE","AUS","AUS","Australia","Australia","Ashmore and Cartier Islands","Ashmore & Cartier Is. (Aust.)","Australia"
"18","Christmas Island","Christmas Island","Australia","Oceania","OCE","AUS","CXR","Christmas Island","Christmas Island","Christmas Island","Christmas Is. (Aust.)","Christmas Island"
"19",NA,NA,"Australia","Oceania","OCE","AUS","NFK","Territory of Norfolk Island",NA,"Norfolk Island","Norfolk Island (Aust.)",NA
"20",NA,NA,"Australia","Africa","AFR","AUS","HMD","Heard Island and McDonald Island",NA,"Heard Island and McDonald Islands","Heard Is. & McDonald Is. (Aust.)",NA
