MEMs,LME NAME,GFDL-ESM2M CMIP5,GFDL-ESM4 CMIP6,GFDL difference,IPSL_CM5A-LR CMIP5,IPSL_CM6A_LR CMIP6,IPSL difference
boats,Kara Sea,NA,0.225825867,#VALUE!,-0.318836508,-0.041083743,0.277752765
boats,Guinea Current,-0.758795199,0.894079743,1.652874942,0.442230824,0.881495366,0.439264542
boats,Pacific Central-American Coastal,-0.624041211,0.786462991,1.410504202,-0.599682372,0.786575684,1.386258056
boats,Humboldt Current,-0.670388488,0.642284803,1.31267329,-0.695911509,0.074596414,0.770507923
boats,Barents Sea,-0.603283222,0.612216725,1.215499948,-0.668167766,0.543572979,1.211740745
boats,North Brazil Shelf,-0.550357861,0.647917274,1.198275134,0.196570304,0.688104241,0.491533937
boats,Canary Current,-0.616852636,0.497455336,1.114307972,-0.209071902,0.874320023,1.083391925
boats,Celtic-Biscay Shelf,-0.575541814,0.517138151,1.092679965,-0.526863468,0.532179352,1.059042819
boats,Patagonian Shelf,-0.627063491,0.396724989,1.02378848,-0.856535097,0.445316364,1.301851461
boats,Bay of Bengal,0.089123291,0.915743706,0.826620415,0.876900684,0.911974119,0.035073435
boats,East Brazil Shelf,-0.164030717,0.524747959,0.688778677,-0.236140412,0.536160537,0.772300949
boats,Red Sea,0.298767314,0.951872253,0.653104939,0.860819656,0.809741896,-0.051077759
boats,South Brazil Shelf,0.040483192,0.69193412,0.651450928,0.088265471,0.692735662,0.604470191
boats,East Siberian Sea,0.220633854,0.860672507,0.640038653,0.256634689,0.467066789,0.2104321
boats,West Bering Sea,-0.197151222,0.433671465,0.630822688,-0.442765866,0.816342645,1.259108511
boats,North Australian Shelf,0.050639031,0.67843131,0.627792279,0.060687795,0.538021105,0.47733331
boats,Kuroshio Current,-0.142273935,0.46802005,0.610293985,-0.01919317,0.305154975,0.324348145
boats,Gulf of Alaska,0.147253488,0.740937959,0.593684471,0.050916609,0.349895363,0.298978755
boats,Norwegian Sea,0.226661746,0.799173196,0.57251145,-0.035359498,0.751140247,0.786499745
boats,New Zealand Shelf,0.318173743,0.87133304,0.553159297,-0.873469418,0.902486624,1.775956042
boats,Black Sea,0.099290489,0.609145818,0.509855329,0.492930429,0.223971107,-0.268959322
boats,Baltic Sea,0.076172943,0.571764104,0.495591161,-0.004926327,0.622937732,0.62786406
boats,North Sea,0.203812082,0.679898618,0.476086535,0.071104802,0.501262242,0.430157439
boats,Antarctica,-0.467013338,-0.018852481,0.448160857,-0.434899464,-0.274927317,0.159972147
boats,Agulhas Current,-0.241627461,0.176791135,0.418418596,-0.003476924,0.210249682,0.213726606
boats,Arabian Sea,0.523113799,0.928151838,0.405038038,0.793280677,0.955627334,0.162346657
boats,Greenland Sea,-0.156348276,0.238540206,0.394888482,-0.029053375,0.129944955,0.158998329
boats,Caribbean Sea,-0.162546699,0.222691316,0.385238014,0.126400001,0.199074239,0.072674238
boats,Gulf of California,0.525851998,0.893716924,0.367864926,0.339974707,0.719387468,0.379412761
boats,Sea of Okhotsk,-0.364881091,-0.005098926,0.359782165,-0.488313789,0.77895779,1.267271579
boats,Iberian Coastal,-0.491997839,-0.135621029,0.35637681,-0.681215637,-0.271009137,0.4102065
boats,Southeast Australian Shelf,0.324565375,0.644396548,0.319831173,0.523688808,0.707345741,0.183656933
boats,California Current,0.460790688,0.780461391,0.319670703,0.314161394,0.813117338,0.498955944
boats,Iceland Shelf and Sea,0.345760284,0.651857452,0.306097168,0.385451354,0.523559204,0.13810785
boats,South China Sea,0.558753235,0.842492837,0.283739602,0.864200423,0.872376528,0.008176105
boats,East Bering Sea,0.616864108,0.862353592,0.245489483,0.58053093,0.636885947,0.056355017
boats,East Central Australian Shelf,0.061046762,0.294611333,0.233564571,0.22212615,0.031577663,-0.190548487
boats,Northern Bering - Chukchi Seas,0.644646964,0.864910619,0.220263655,0.170136369,0.799036713,0.628900343
boats,Oyashio Current,0.173950232,0.393234761,0.21928453,-0.094160386,0.86704126,0.961201646
boats,Gulf of Thailand,0.314188441,0.523556286,0.209367845,-0.785625929,0.524775764,1.310401693
boats,Faroe Plateau,0.544848021,0.710683244,0.165835222,0.566851752,0.719846084,0.152994331
boats,Sea of Japan,0.757712699,0.914003312,0.156290614,0.700974293,0.822169187,0.121194894
boats,East China Sea,0.789644838,0.897870427,0.108225589,-0.693826224,0.901959682,1.595785906
boats,Yellow Sea,0.84505279,0.89500252,0.04994973,-0.686328197,0.797202316,1.483530514
boats,Mediterranean Sea,0.765201221,0.806445509,0.041244288,0.521852663,0.761100993,0.239248329
boats,Benguela Current,0.794092339,0.829514018,0.035421679,0.751603936,0.682002514,-0.069601422
boats,Indonesian Sea,0.850528562,0.883060365,0.032531803,0.262563295,0.942959313,0.680396018
boats,South West Australian Shelf,0.373318568,0.398601909,0.02528334,0.559571049,0.326190565,-0.233380484
boats,Insular Pacific-Hawaiian,-0.665754947,-0.64254053,0.023214417,-0.740455765,-0.413022523,0.327433242
boats,Northeast Australian Shelf,-0.292069158,-0.27394018,0.018128979,-0.385485036,-0.280051887,0.105433149
boats,Sulu-Celebes Sea,0.701757795,0.711171941,0.009414146,0.732490369,0.785572431,0.053082062
boats,Aleutian Islands,0.595034511,0.563127037,-0.031907474,0.509601553,0.204908135,-0.304693418
boats,West Central Australian Shelf,-0.101269207,-0.258527513,-0.157258305,-0.627653245,-0.36618637,0.261466875
boats,Somali Coastal Current,0.77456873,0.613555422,-0.161013309,0.685552269,0.802491002,0.116938733
boats,Southeast U.S. Continental Shelf,-0.587243377,-0.810936476,-0.223693098,-0.673938198,-0.792070915,-0.118132716
boats,Northeast U.S. Continental Shelf,-0.337924439,-0.56250824,-0.224583801,0.657255036,-0.59480106,-1.252056095
boats,Hudson Bay Complex,-0.173699424,-0.438711066,-0.265011643,-0.320135458,-0.039958824,0.280176634
boats,Central Arctic,0.126901821,-0.168572322,-0.295474143,NA,NA,#VALUE!
boats,Scotian Shelf,0.636872003,0.291073846,-0.345798157,0.821805508,-0.372174451,-1.193979959
boats,Northwest Australian Shelf,0.151650189,-0.194718251,-0.34636844,-0.199133645,-0.309147778,-0.110014133
boats,Labrador - Newfoundland,0.788357994,0.401618905,-0.386739089,0.16587125,-0.483458153,-0.649329403
boats,Gulf of Mexico,-0.046971122,-0.480572036,-0.433600914,-0.622591382,-0.517749636,0.104841746
boats,Canadian Eastern Arctic - West Greenland,-0.322540696,-0.76479319,-0.442252495,0.31339442,-0.498801448,-0.812195868
boats,Canadian High Arctic - North Greenland,-0.145692736,-0.61364165,-0.467948914,NA,NA,#VALUE!
boats,Laptev Sea,-0.142223508,-0.625430094,-0.483206586,-0.226365757,-0.43230118,-0.205935423
boats,Beaufort Sea,0.422841626,-0.485240907,-0.908082532,0.26445664,-0.06357039,-0.32802703
ecoocean,East Siberian Sea,NA,0.836149113,#VALUE!,NA,0.793018888,#VALUE!
ecoocean,Central Arctic,NA,-0.182054684,#VALUE!,NA,-0.181253267,#VALUE!
ecoocean,Hudson Bay Complex,NA,-0.112202998,#VALUE!,NA,-0.309811131,#VALUE!
ecoocean,Laptev Sea,NA,-0.571198233,#VALUE!,NA,-0.552748073,#VALUE!
ecoocean,North Brazil Shelf,-0.386514879,0.726598444,1.113113323,-0.241686955,0.715574262,0.957261217
ecoocean,Black Sea,-0.490780743,0.589259346,1.080040088,-0.522690087,0.343176318,0.865866405
ecoocean,Celtic-Biscay Shelf,-0.517473229,0.438007784,0.955481013,-0.440023284,0.528444396,0.96846768
ecoocean,Benguela Current,-0.681484227,0.266872224,0.948356451,-0.78034559,0.404766922,1.185112512
ecoocean,East Bering Sea,-0.240080351,0.597457592,0.837537943,-0.264410912,0.678236238,0.94264715
ecoocean,Kuroshio Current,-0.316780903,0.509719188,0.826500091,-0.274575767,0.596908114,0.87148388
ecoocean,East Brazil Shelf,-0.241652517,0.547873779,0.789526296,-0.281265529,0.599768696,0.881034225
ecoocean,Oyashio Current,0.080901382,0.834224146,0.753322764,0.034549755,0.627710409,0.593160655
ecoocean,Sea of Japan,0.045153937,0.742455006,0.697301069,-0.026840863,0.788367256,0.815208119
ecoocean,South West Australian Shelf,-0.518870684,0.148900007,0.66777069,-0.577355535,0.220785717,0.798141253
ecoocean,Gulf of Alaska,-0.17857971,0.478285908,0.656865618,-0.200487021,0.733748682,0.934235703
ecoocean,Iberian Coastal,-0.598191932,0.031798716,0.629990648,-0.274927122,-0.064726749,0.210200373
ecoocean,South Brazil Shelf,0.021324517,0.633696491,0.612371974,-0.122039558,0.689039196,0.811078754
