ID_mrgd,continent,Country_FAO,fao_official
5670,Europe,Albania,the Republic of Albania
8378,Africa,Algeria,the People's Democratic Republic of Algeria
8478,Africa,Angola,the Republic of Angola
8414,Americas,Antigua and Barbuda,Antigua and Barbuda
8466,Americas,Argentina,the Argentine Republic
8323,Oceania,Australia,Australia
8311,Oceania,NA,Australia
8309,Oceania,Australia,Christmas Island
8308,Oceania,Australia,the Cocos (Keeling) Islands
8388,Oceania,Australia,Heard Island and McDonald Islands
8310,Oceania,Australia,Norfolk Island
26524,Asia,Azerbaijan,the Republic of Azerbaijan
8404,Americas,Bahamas,the Commonwealth of the Bahamas
8358,Asia,Bahrain,the Kingdom of Bahrain
8481,Asia,Bangladesh,the People's Republic of Bangladesh
8418,Americas,Barbados,Barbados
3293,Europe,Belgium,the Kingdom of Belgium
8457,Americas,Belize,Belize
8393,Africa,Benin,the Republic of Benin
22491,Europe,Bosnia and Herzegovina,Bosnia and Herzegovina
8464,Americas,Brazil,the Federative Republic of Brazil
8381,Americas,NA,the Federative Republic of Brazil
26521,Asia,Brunei Darussalam,Brunei Darussalam
5672,Europe,Bulgaria,the Republic of Bulgaria
8331,Asia,Cambodia,the Kingdom of Cambodia
8475,Africa,Cameroon,the Republic of Cameroon
8493,Americas,Canada,Canada
8362,Africa,Cabo Verde,the Republic of Cabo Verde
8465,Americas,Chile,the Republic of Chile
21787,Americas,NA,the Republic of Chile
22756,Americas,NA,the Republic of Chile
8486,Asia,China,the People's Republic of China
8426,Americas,Colombia,the Republic of Colombia
48985,Americas,NA,the Republic of Colombia
62598,Americas,NA,the Republic of Colombia
62596,Americas,NA,the Republic of Colombia
48984,Americas,NA,the Republic of Colombia
8334,Africa,Comoros,the Union of the Comoros
8424,Americas,Costa Rica,the Republic of Costa Rica
5673,Europe,Croatia,the Republic of Croatia
8406,Americas,Cuba,the Republic of Cuba
8376,Asia,Cyprus,the Republic of Cyprus
8477,Africa,"Congo, Dem. Rep. of the",the Democratic Republic of the Congo
5674,Europe,Denmark,the Kingdom of Denmark
8435,Europe,Denmark,the Faroe Islands
8438,Americas,Denmark,Greenland
8352,Africa,Djibouti,the Republic of Djibouti
8417,Americas,Dominica,the Commonwealth of Dominica
8409,Americas,Dominican Republic,the Dominican Republic
8758,Asia,Timor-Leste,the Democratic Republic of Timor-Leste
8431,Americas,Ecuador,the Republic of Ecuador
8403,Americas,NA,the Republic of Ecuador
8490,Africa,Egypt,the Arab Republic of Egypt
8428,Americas,El Salvador,the Republic of El Salvador
8398,Africa,Equatorial Guinea,the Republic of Equatorial Guinea
8351,Africa,Eritrea,the State of Eritrea
5675,Europe,Estonia,the Republic of Estonia
8350,Africa,Somalia,the Federal Republic of Somalia
8325,Oceania,Fiji,the Republic of Fiji
5676,Europe,Finland,the Republic of Finland
8340,Africa,France,the French Southern Territories
8401,Oceania,France,French Polynesia
5677,Europe,France,the French Republic
