ID_mrgd,continent,fao_official,Country_FAO
8444,Oceania,American Samoa,United States of America
8412,Americas,Anguilla,United Kingdom
8414,Americas,Antigua and Barbuda,Antigua and Barbuda
26519,Americas,Aruba,Netherlands
8401,Oceania,Clipperton Island,France
8364,Europe,the Canary Islands,Spain
8363,Europe,the Madeira Islands,Portugal
8323,Oceania,Australia,Australia
62589,Asia,the Chagos Archipelago,Mauritius
8418,Americas,Barbados,Barbados
8457,Americas,Belize,Belize
8402,Americas,Bermuda,United Kingdom
8443,Oceania,Palmyra Atoll,United States of America
8452,Oceania,Johnston Atoll,United States of America
8319,Oceania,Wake Island,United States of America
22491,Europe,Bosnia and Herzegovina,Bosnia and Herzegovina
26521,Asia,Brunei Darussalam,Brunei Darussalam
8493,Americas,Canada,Canada
8309,Oceania,Christmas Island,Australia
26517,Americas,Curaçao,NA
8462,Americas,French Guiana,France
8440,Oceania,French Polynesia,France
8442,Oceania,Jarvis Island,United States of America
5678,Europe,Georgia,Georgia
8438,Americas,Greenland,Denmark
8419,Americas,Grenada,Grenada
33177,Americas,Guadeloupe,France
48957,Oceania,Guam,United States of America
8388,Oceania,Heard Island and McDonald Islands,NA
5680,Europe,Iceland,Iceland
5681,Europe,Ireland,Ireland
8459,Americas,Jamaica,Jamaica
8487,Asia,Japan,Japan
8483,Asia,Malaysia,Malaysia
33178,Americas,Martinique,France
5691,Europe,Montenegro,Montenegro
8415,Americas,Montserrat,United Kingdom
8451,Oceania,the United States Minor Outlying Islands (Howland and Baker Islands),United States of America
8311,Oceania,Australia (Macquarie Island),Australia
8381,Americas,the Federative Republic of Brazil (Trindade),Brazil
22756,Americas,the Republic of Chile (San Felix and San Ambrosio islands),Chile
21787,Americas,the Republic of Chile (Easter Island),Chile
62596,Americas,the Republic of Colombia (Serrana),Colombia
62598,Americas,the Republic of Colombia (Quitasue√±o),Colombia
48984,Americas,the Republic of Colombia  (Serranilla),Colombia
48985,Americas,the Republic of Colombia (Bajo Nuevo),Colombia
8312,Oceania,New Caledonia,France
8455,Oceania,New Zealand,New Zealand
8447,Oceania,Niue,NA
8310,Oceania,Norfolk Island,NA
48953,Asia,Palestine,Palestine
8439,Oceania,Pitcairn,NA
8338,Africa,Réunion,NA
5689,Europe,Romania,Romania
8413,Americas,Saint Kitts and Nevis,Saint Kitts and Nevis
8416,Americas,Saint Lucia,Saint Lucia
8494,Americas,Saint Pierre and Miquelon,France
8421,Americas,Saint Vincent and the Grenadines,Saint Vincent/Grenadines
48952,Americas,Saint Barthélemy,NA
8495,Americas,Saint Martin (French part),NA
21803,Americas,Sint Maarten (Dutch part),NA
8314,Oceania,Solomon Islands,Solomon Islands
8321,Asia,Taiwan Province of China,China
8490,Africa,the Arab Republic of Egypt,Egypt
8466,Americas,the Argentine Republic,Argentina
21788,Europe,the Bailiwick of Guernsey,NA
21789,Europe,the Bailiwick of Jersey,NA
8433,Americas,the Bolivarian Republic of Venezuela,"Venezuela, Boliv Rep of"
8411,Americas,the British Virgin Islands,NA
8407,Americas,the Cayman Islands,NA
8460,Americas,the Co-operative Republic of Guyana,Guyana
8308,Oceania,the Cocos (Keeling) Islands,NA
8417,Americas,the Commonwealth of Dominica,Dominica
33179,Americas,the Commonwealth of Puerto Rico,NA
8404,Americas,the Commonwealth of the Bahamas,Bahamas
48980,Oceania,the Commonwealth of the Northern Mariana Islands,NA
8446,Oceania,the Cook Islands,New Zealand
8328,Asia,the Democratic People's Republic of Korea,"Korea, Dem. People's Rep"
8397,Africa,the Democratic Republic of Sao Tome and Principe,Sao Tome and Principe
8477,Africa,the Democratic Republic of the Congo,"Congo, Dem. Rep. of the"
8758,Asia,the Democratic Republic of Timor-Leste,Timor-Leste
8346,Asia,the Democratic Socialist Republic of Sri Lanka,Sri Lanka
8409,Americas,the Dominican Republic,Dominican Republic
8467,Americas,the Eastern Republic of Uruguay,Uruguay
8435,Europe,the Faroe Islands,NA
5669,Europe,the Federal Republic of Germany,Germany
8474,Africa,the Federal Republic of Nigeria,Nigeria
8350,Africa,the Federal Republic of Somalia,Somalia
8316,Oceania,the Federated States of Micronesia,"Micronesia, Fed.States of"
8403,Americas,the Republic of Ecuador (Galapagos),Ecuador
8464,Americas,the Federative Republic of Brazil,Brazil
5677,Europe,the French Republic,France
8340,Africa,Bassas da India,NA
8476,Africa,the Gabonese Republic,Gabon
8491,Asia,the Hashemite Kingdom of Jordan,Jordan
5679,Europe,the Hellenic Republic,Greece
8324,Oceania,the Independent State of Papua New Guinea,NA
8445,Oceania,the Independent State of Samoa,Samoa
8469,Asia,the Islamic Republic of Iran,Iran (Islamic Rep. of)
8369,Africa,the Islamic Republic of Mauritania,Mauritania
8359,Asia,the Islamic Republic of Pakistan,Pakistan
8358,Asia,the Kingdom of Bahrain,Bahrain
3293,Europe,the Kingdom of Belgium,Belgium
8331,Asia,the Kingdom of Cambodia,Cambodia
5674,Europe,the Kingdom of Denmark,Denmark
8367,Africa,the Kingdom of Morocco,Morocco
5686,Europe,the Kingdom of Norway,Norway
8356,Asia,the Kingdom of Saudi Arabia,Saudi Arabia
8450,Oceania,the Republic of Kiribati (Phoenix Islands),Kiribati
5693,Europe,the Kingdom of Spain,Spain
5694,Europe,the Kingdom of Sweden,Sweden
8332,Asia,the Kingdom of Thailand,Thailand
5668,Europe,the Kingdom of the Netherlands,Netherlands
8448,Oceania,the Kingdom of Tonga,Tonga
8374,Asia,the Lebanese Republic,Lebanon
8378,Africa,the People's Democratic Republic of Algeria,Algeria
8481,Asia,the People's Republic of Bangladesh,Bangladesh
8486,Asia,the People's Republic of China,China
