x,y,rel_change_mean00_ssp126,rel_change_mean00_ssp585
-179.5,-89.5,NA,NA
-179.5,-88.5,NA,NA
-179.5,-87.5,NA,NA
-179.5,-86.5,NA,NA
-179.5,-85.5,NA,NA
-179.5,-84.5,NA,NA
-179.5,-83.5,NA,NA
-179.5,-82.5,NA,NA
-179.5,-81.5,NA,NA
-179.5,-80.5,NA,NA
-179.5,-79.5,NA,NA
-179.5,-78.5,NA,NA
-179.5,-77.5,80,60
-179.5,-76.5,50,60
-179.5,-75.5,50,80
-179.5,-74.5,60,60
-179.5,-73.5,70,70
-179.5,-72.5,70,70
-179.5,-71.5,60,50
-179.5,-70.5,60,60
-179.5,-69.5,60,60
-179.5,-68.5,80,70
-179.5,-67.5,80,70
-179.5,-66.5,80,60
-179.5,-65.5,80,60
-179.5,-64.5,70,60
-179.5,-63.5,60,50
-179.5,-62.5,50,70
-179.5,-61.5,50,70
-179.5,-60.5,60,80
-179.5,-59.5,50,80
-179.5,-58.5,60,80
-179.5,-57.5,70,80
-179.5,-56.5,80,80
-179.5,-55.5,80,80
-179.5,-54.5,80,80
-179.5,-53.5,80,80
-179.5,-52.5,80,80
-179.5,-51.5,90,90
-179.5,-50.5,80,80
-179.5,-49.5,90,90
-179.5,-48.5,90,90
-179.5,-47.5,90,90
-179.5,-46.5,100,100
-179.5,-45.5,70,100
-179.5,-44.5,80,100
-179.5,-43.5,100,100
-179.5,-42.5,100,100
-179.5,-41.5,80,100
-179.5,-40.5,70,100
-179.5,-39.5,60,100
-179.5,-38.5,70,100
-179.5,-37.5,70,100
-179.5,-36.5,70,100
-179.5,-35.5,100,100
-179.5,-34.5,100,100
-179.5,-33.5,100,100
-179.5,-32.5,70,100
-179.5,-31.5,80,100
-179.5,-30.5,50,100
-179.5,-29.5,70,100
-179.5,-28.5,80,100
-179.5,-27.5,80,100
-179.5,-26.5,70,100
-179.5,-25.5,50,100
-179.5,-24.5,50,100
-179.5,-23.5,50,100
-179.5,-22.5,50,100
-179.5,-21.5,50,80
-179.5,-20.5,50,60
-179.5,-19.5,50,50
-179.5,-18.5,50,50
-179.5,-17.5,50,50
-179.5,-16.5,50,50
-179.5,-15.5,50,50
-179.5,-14.5,70,70
-179.5,-13.5,100,90
-179.5,-12.5,100,90
-179.5,-11.5,100,90
-179.5,-10.5,100,90
-179.5,-9.5,100,90
-179.5,-8.5,100,90
-179.5,-7.5,100,100
-179.5,-6.5,100,100
-179.5,-5.5,100,100
-179.5,-4.5,60,100
-179.5,-3.5,70,100
-179.5,-2.5,70,100
-179.5,-1.5,60,100
-179.5,-0.5,60,100
-179.5,0.5,70,100
-179.5,1.5,80,90
-179.5,2.5,70,90
-179.5,3.5,80,90
-179.5,4.5,60,90
-179.5,5.5,70,90
-179.5,6.5,90,90
-179.5,7.5,90,90
-179.5,8.5,100,90
-179.5,9.5,100,90
-179.5,10.5,100,90
-179.5,11.5,100,90
-179.5,12.5,100,90
-179.5,13.5,100,90
-179.5,14.5,100,70
-179.5,15.5,80,60
-179.5,16.5,80,60
-179.5,17.5,80,50
-179.5,18.5,60,50
-179.5,19.5,70,60
-179.5,20.5,80,70
-179.5,21.5,90,70
-179.5,22.5,90,70
-179.5,23.5,90,70
-179.5,24.5,90,90
-179.5,25.5,100,100
-179.5,26.5,100,100
-179.5,27.5,100,100
-179.5,28.5,90,100
-179.5,29.5,100,100
-179.5,30.5,90,100
-179.5,31.5,100,100
-179.5,32.5,100,100
-179.5,33.5,100,100
-179.5,34.5,100,100
-179.5,35.5,100,100
-179.5,36.5,100,100
-179.5,37.5,100,100
-179.5,38.5,100,100
-179.5,39.5,100,100
-179.5,40.5,100,100
-179.5,41.5,100,100
-179.5,42.5,100,100
-179.5,43.5,100,100
-179.5,44.5,90,90
-179.5,45.5,90,90
-179.5,46.5,90,100
-179.5,47.5,100,100
-179.5,48.5,100,90
-179.5,49.5,100,100
-179.5,50.5,90,90
-179.5,51.5,100,100
-179.5,52.5,100,100
-179.5,53.5,90,100
-179.5,54.5,90,90
-179.5,55.5,100,90
-179.5,56.5,100,90
-179.5,57.5,90,90
-179.5,58.5,90,90
-179.5,59.5,100,90
-179.5,60.5,90,100
-179.5,61.5,90,90
-179.5,62.5,60,60
-179.5,63.5,80,70
-179.5,64.5,80,80
-179.5,65.5,100,100
-179.5,66.5,100,100
-179.5,67.5,NA,NA
-179.5,68.5,100,100
-179.5,69.5,60,70
-179.5,70.5,87.5,87.5
-179.5,71.5,87.5,87.5
-179.5,72.5,60,70
-179.5,73.5,50,60
-179.5,74.5,50,60
-179.5,75.5,70,90
-179.5,76.5,80,90
-179.5,77.5,90,90
-179.5,78.5,80,90
-179.5,79.5,80,90
-179.5,80.5,80,90
-179.5,81.5,80,90
-179.5,82.5,80,70
-179.5,83.5,70,70
-179.5,84.5,70,50
-179.5,85.5,70,50
-179.5,86.5,50,50
-179.5,87.5,50,50
-179.5,88.5,60,70
-179.5,89.5,60,80
-178.5,-89.5,NA,NA
-178.5,-88.5,NA,NA
-178.5,-87.5,NA,NA
-178.5,-86.5,NA,NA
-178.5,-85.5,NA,NA
-178.5,-84.5,NA,NA
-178.5,-83.5,NA,NA
-178.5,-82.5,NA,NA
-178.5,-81.5,NA,NA
-178.5,-80.5,NA,NA
-178.5,-79.5,NA,NA
-178.5,-78.5,NA,NA
-178.5,-77.5,80,50
-178.5,-76.5,60,80
-178.5,-75.5,50,70
-178.5,-74.5,60,60
-178.5,-73.5,60,70
-178.5,-72.5,60,70
-178.5,-71.5,50,60
-178.5,-70.5,60,70
-178.5,-69.5,60,70
-178.5,-68.5,90,70
-178.5,-67.5,80,70
-178.5,-66.5,90,60
-178.5,-65.5,90,60
-178.5,-64.5,70,60
-178.5,-63.5,70,50
-178.5,-62.5,70,60
-178.5,-61.5,60,70
-178.5,-60.5,60,80
-178.5,-59.5,60,80
-178.5,-58.5,50,80
-178.5,-57.5,70,80
-178.5,-56.5,80,80
-178.5,-55.5,80,80
-178.5,-54.5,80,80
-178.5,-53.5,80,80
-178.5,-52.5,80,80
-178.5,-51.5,80,80
-178.5,-50.5,90,90
-178.5,-49.5,90,90
-178.5,-48.5,90,90
-178.5,-47.5,90,90
