x,y,cell_area,ID_mrgd,NAME_EN
-179.5,89.5,107051584,18,Arctic Sea
-178.5,89.5,107166784,18,Arctic Sea
-177.5,89.5,107280176,18,Arctic Sea
-176.5,89.5,107390056,18,Arctic Sea
-175.5,89.5,107501784,18,Arctic Sea
-174.5,89.5,107614696,18,Arctic Sea
-173.5,89.5,107725048,18,Arctic Sea
-172.5,89.5,107834704,18,Arctic Sea
-171.5,89.5,107941784,18,Arctic Sea
-170.5,89.5,108041056,18,Arctic Sea
-169.5,89.5,108139400,18,Arctic Sea
-168.5,89.5,108236552,18,Arctic Sea
-167.5,89.5,108330240,18,Arctic Sea
-166.5,89.5,108425096,18,Arctic Sea
-165.5,89.5,108520080,18,Arctic Sea
-164.5,89.5,108614976,18,Arctic Sea
-163.5,89.5,108704744,18,Arctic Sea
-162.5,89.5,108756504,18,Arctic Sea
-161.5,89.5,108800816,18,Arctic Sea
-160.5,89.5,108845688,18,Arctic Sea
-159.5,89.5,108890728,18,Arctic Sea
-158.5,89.5,108930088,18,Arctic Sea
-157.5,89.5,108966376,18,Arctic Sea
-156.5,89.5,108997912,18,Arctic Sea
-155.5,89.5,109026848,18,Arctic Sea
-154.5,89.5,109056176,18,Arctic Sea
-153.5,89.5,109085904,18,Arctic Sea
-152.5,89.5,109115296,18,Arctic Sea
-151.5,89.5,109130448,18,Arctic Sea
-150.5,89.5,109140104,18,Arctic Sea
-149.5,89.5,109149928,18,Arctic Sea
-148.5,89.5,109159680,18,Arctic Sea
-147.5,89.5,109167200,18,Arctic Sea
-146.5,89.5,109173968,18,Arctic Sea
-145.5,89.5,109179160,18,Arctic Sea
-144.5,89.5,109178992,18,Arctic Sea
-143.5,89.5,109177440,18,Arctic Sea
-142.5,89.5,109175656,18,Arctic Sea
-141.5,89.5,109173664,18,Arctic Sea
-140.5,89.5,109170992,18,Arctic Sea
-139.5,89.5,109166848,18,Arctic Sea
-138.5,89.5,109162192,18,Arctic Sea
-137.5,89.5,109157096,18,Arctic Sea
-136.5,89.5,109151776,18,Arctic Sea
-135.5,89.5,109145832,18,Arctic Sea
-134.5,89.5,109139960,18,Arctic Sea
-133.5,89.5,109133800,18,Arctic Sea
-132.5,89.5,109128088,18,Arctic Sea
-131.5,89.5,109128912,18,Arctic Sea
-130.5,89.5,109132776,18,Arctic Sea
-129.5,89.5,109136480,18,Arctic Sea
-128.5,89.5,109140000,18,Arctic Sea
-127.5,89.5,109143336,18,Arctic Sea
-126.5,89.5,109146488,18,Arctic Sea
-125.5,89.5,109149464,18,Arctic Sea
-124.5,89.5,109152256,18,Arctic Sea
-123.5,89.5,109154864,18,Arctic Sea
-122.5,89.5,109157296,18,Arctic Sea
-121.5,89.5,109159544,18,Arctic Sea
-120.5,89.5,109161616,18,Arctic Sea
-119.5,89.5,109095936,18,Arctic Sea
-118.5,89.5,109093864,18,Arctic Sea
-117.5,89.5,109091632,18,Arctic Sea
-116.5,89.5,109089216,18,Arctic Sea
-115.5,89.5,109086624,18,Arctic Sea
-114.5,89.5,109083880,18,Arctic Sea
-113.5,89.5,109080952,18,Arctic Sea
-112.5,89.5,109077856,18,Arctic Sea
-111.5,89.5,109074576,18,Arctic Sea
-110.5,89.5,109071136,18,Arctic Sea
-109.5,89.5,109067520,18,Arctic Sea
-108.5,89.5,109063728,18,Arctic Sea
-107.5,89.5,109063032,18,Arctic Sea
-106.5,89.5,109068944,18,Arctic Sea
-105.5,89.5,109075320,18,Arctic Sea
-104.5,89.5,109081456,18,Arctic Sea
-103.5,89.5,109087704,18,Arctic Sea
-102.5,89.5,109093352,18,Arctic Sea
-101.5,89.5,109098856,18,Arctic Sea
-100.5,89.5,109103952,18,Arctic Sea
-99.5,89.5,109108528,18,Arctic Sea
-98.5,89.5,109111784,18,Arctic Sea
-97.5,89.5,109114416,18,Arctic Sea
-96.5,89.5,109116832,18,Arctic Sea
-95.5,89.5,109119016,18,Arctic Sea
-94.5,89.5,109119992,18,Arctic Sea
-93.5,89.5,109116056,18,Arctic Sea
-92.5,89.5,109110520,18,Arctic Sea
-91.5,89.5,109104248,18,Arctic Sea
-90.5,89.5,109095816,18,Arctic Sea
-89.5,89.5,109087280,18,Arctic Sea
-88.5,89.5,109078896,18,Arctic Sea
-87.5,89.5,109065288,18,Arctic Sea
-86.5,89.5,109038176,18,Arctic Sea
-85.5,89.5,109010736,18,Arctic Sea
-84.5,89.5,108983672,18,Arctic Sea
-83.5,89.5,108956976,18,Arctic Sea
-82.5,89.5,108927744,18,Arctic Sea
-81.5,89.5,108893872,18,Arctic Sea
-80.5,89.5,108856928,18,Arctic Sea
-79.5,89.5,108814400,18,Arctic Sea
-78.5,89.5,108772024,18,Arctic Sea
-77.5,89.5,108730176,18,Arctic Sea
-76.5,89.5,108681208,18,Arctic Sea
-75.5,89.5,108595832,18,Arctic Sea
-74.5,89.5,108505560,18,Arctic Sea
-73.5,89.5,108415208,18,Arctic Sea
-72.5,89.5,108324984,18,Arctic Sea
-71.5,89.5,108235816,18,Arctic Sea
-70.5,89.5,108143216,18,Arctic Sea
-69.5,89.5,108049440,18,Arctic Sea
