#
# national population in 10^6 people
# (commas in the country name have been replaced by ;)
#
iso,country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
ABW,Aruba,0.038051999999999996,0.038268,0.038962000000000004,0.040151,0.041761,0.043720999999999996,0.045932,0.048239,0.0505,0.052532,0.054208000000000006,0.055434000000000004,0.056234000000000006,0.056699,0.057028999999999996,0.057357000000000005,0.057701999999999996,0.058044000000000005,0.058377,0.058734,0.059070000000000004,0.059441999999999995,0.059849,0.060236000000000005,0.060527,0.060653,0.060586,0.060365999999999996,0.060101999999999996,0.059972000000000004,0.060097000000000005,0.060561000000000004,0.061341,0.062213,0.06282599999999999,0.063024,0.062645,0.061838,0.061072,0.061033000000000004,0.062152,0.064623,0.06824,0.072495,0.076705,0.080324,0.08321100000000001,0.08545,0.08728,0.089009,0.090866,0.092892,0.094992,0.09701599999999999,0.09874400000000001,0.10002799999999999,0.10082999999999999,0.101226,0.101362,0.101452,0.10166499999999999,0.10205,0.102565,0.103165,0.103776
AFG,Afghanistan,7.752117,7.840151,7.935996,8.039684,8.151316,8.270992,8.398873,8.535157,8.680097,8.833947,8.996967,9.169406,9.351442,9.5432,9.744772,9.956318,10.17484,10.399936,10.637064,10.893772,11.173653999999999,11.47545,11.791222,12.108963000000001,12.41296,12.689164,12.943093,13.171294,13.341199,13.41106,13.3565,13.171679000000001,12.882518,12.537732,12.204305999999999,11.938203999999999,11.736177,11.604538,11.618008,11.868872999999999,12.412311,13.299016,14.485543,15.816601,17.075728,18.110661999999998,18.853444,19.357126,19.73777,20.170847,20.779957,21.606992,22.600773999999998,23.680871,24.726689,25.654273999999997,26.433058000000003,27.100541999999997,27.722281,28.394806,29.185510999999998,30.117410999999997,31.161378000000003,32.269591999999996,33.370804
AGO,Angola,4.548021,4.6165519999999995,4.71316,4.82333,4.935956,5.043251000000001,5.14091,5.2280050000000005,5.306538,5.380718,5.454937999999999,5.531451000000001,5.608499,5.679409,5.734995,5.770573000000001,5.781305000000001,5.77444,5.771973,5.8036769999999995,5.89036,6.041239,6.248965,6.497283,6.761622999999999,7.023994,7.27963,7.533814,7.790774000000001,8.058112,8.341289999999999,8.640478,8.952971,9.278103999999999,9.614756,9.961993,10.320116,10.689247,11.068050999999999,11.454784,11.848385,12.248901,12.657361,13.075044,13.503753,13.945205,14.400722,14.871572,15.3596,15.866871,16.395477,16.945753,17.519417999999998,18.121477,18.758138,19.433604000000003,20.149905,20.90536,21.695636,22.514275,23.356247,24.220660000000002,25.107925,26.015786,26.941772999999998
AIA,Anguilla,0.005122,0.0053170000000000005,0.005477,0.005598,0.005705,0.0057810000000000005,0.0058460000000000005,0.005901,0.005939,0.005987,0.00602,0.00609,0.006141,0.006207,0.0062829999999999995,0.00636,0.0064340000000000005,0.006520000000000001,0.006608,0.006690000000000001,0.006773,0.006854000000000001,0.0069489999999999994,0.007023000000000001,0.0071010000000000005,0.007161,0.007201999999999999,0.007252,0.007285,0.0072959999999999995,0.0072840000000000005,0.007248999999999999,0.007194,0.007145,0.007181999999999999,0.007292,0.0075120000000000004,0.007842,0.008222,0.008582,0.008893999999999999,0.009138,0.009333,0.009491,0.009661,0.009868,0.010117000000000001,0.010388,0.010684,0.010979000000000001,0.011247,0.01152,0.011756,0.011993,0.01223,0.012442,0.01266,0.012862,0.013056,0.013248,0.013436000000000002,0.013612,0.013793999999999999,0.013952,0.014113999999999998
ALA,Åland Islands,0.021296000000000002,0.021296000000000002,0.021296000000000002,0.021296000000000002,0.021296000000000002,0.021296000000000002,0.021296000000000002,0.021296000000000002,0.021296000000000002,0.021296000000000002,0.021296000000000002,0.021233000000000002,0.021169999999999998,0.021107,0.021044,0.020981,0.020918,0.020855000000000002,0.020791999999999998,0.020729,0.020666,0.0209758,0.0212856,0.0215954,0.021905200000000003,0.022215000000000002,0.0223112,0.0224074,0.0225036,0.0225998,0.022696,0.0228754,0.0230548,0.0232342,0.0234136,0.023593,0.023758,0.023923,0.024088,0.024253,0.024418000000000002,0.0245704,0.0247228,0.0248752,0.025027599999999997,0.02518,0.0252922,0.0254044,0.0255166,0.0256288,0.025741000000000003,0.025922399999999998,0.0261038,0.0262852,0.0264666,0.026648,0.0268926,0.0271372,0.027381799999999998,0.027626400000000002,0.027870999999999996,0.027870999999999996,0.027870999999999996,0.027870999999999996,0.027870999999999996
ALB,Albania,1.263164,1.287499,1.31609,1.348113,1.382898,1.419991,1.459115,1.5001799999999998,1.543256,1.588506,1.636091,1.6859259999999998,1.737675,1.790571,1.843649,1.896175,1.9478360000000001,1.998743,2.049214,2.099738,2.150704,2.202186,2.254058,2.3062840000000002,2.358852,2.4117330000000003,2.4649810000000003,2.518685,2.572852,2.6275060000000003,2.682697,2.737018,2.790284,2.844867,2.904142,2.969671,3.0442009999999997,3.124892,3.200972,3.2579130000000003,3.2860699999999996,3.2803970000000002,3.2458869999999997,3.1951959999999997,3.146518,3.112923,3.0986990000000003,3.0997470000000003,3.1106990000000003,3.1227,3.1292459999999997,3.129701,3.126183,3.118017,3.104893,3.08681,3.063021,3.033993,3.002683,2.973044,2.948029,2.928601,2.914091,2.903788,2.896307
AND,Andorra,0.0061979999999999995,0.006693000000000001,0.0072510000000000005,0.007859,0.008533,0.009231,0.009984,0.010778,0.011614,0.012495000000000001,0.01341,0.014378,0.015378999999999999,0.016406999999999998,0.017466,0.018542,0.019646,0.02076,0.021886000000000003,0.023053,0.024275,0.025571,0.026885000000000003,0.028232,0.029514999999999996,0.030705,0.031782,0.032769,0.033744,0.034825,0.036063,0.037498000000000004,0.039115,0.040854,0.042706,0.044593,0.04652,0.048458999999999995,0.050433,0.052452,0.054508,0.056665999999999994,0.058882000000000004,0.060974,0.062676,0.06386,0.064363,0.064318,0.06414,0.064368,0.06539,0.067344,0.070048,0.07318,0.07625,0.07887100000000001,0.08099500000000001,0.082682,0.08386,0.08446100000000001,0.084454,0.083748,0.082427,0.08077000000000001,0.079213
ARE,United Arab Emirates,0.069594,0.067466,0.069235,0.072771,0.07652300000000001,0.079579,0.081624,0.082963,0.08442000000000001,0.087188,0.092417,0.100801,0.11211199999999999,0.12513,0.138049,0.149855,0.159979,0.169768,0.18262,0.203103,0.234512,0.277463,0.330968,0.394625,0.46745699999999996,0.548295,0.637926,0.735347,0.835498,0.931752,1.019507,1.096602,1.164816,1.228457,1.29397,1.366165,1.446386,1.533526,1.627068,1.7256759999999998,1.8284369999999999,1.937159,2.052892,2.173135,2.294377,2.415099,2.5391209999999997,2.671361,2.813214,2.9660290000000002,3.134067,3.302722,3.4787690000000002,3.711931,4.068576999999999,4.588222,5.300172,6.168846,7.089486,7.917368,8.549998,8.946778,9.141598,9.197908,9.214182000000001
ARG,Argentina,17.03791,17.390378,17.74298,18.09429,18.443313,18.789414999999998,19.132405,19.472473,19.810164999999998,20.146307,20.481780999999998,20.81727,21.153042000000003,21.488916,21.824427,22.159644,22.494031,22.828872,23.168267999999998,23.517613,23.880564,24.259564,24.653172,25.056475,25.462304999999997,25.865775,26.264681,26.661396999999997,27.061040999999996,27.471046,27.896532,28.338514,28.79455,29.262048999999998,29.737097,30.216284,30.698964,31.184410999999997,31.668939,32.148137,32.618648,33.079002,33.52932,33.970103,34.402669,34.828168,35.246376,35.657438,36.063451,36.467218,36.870796,37.275644,37.681743,38.087866,38.49197,38.892924,39.289876,39.684303,40.080159,40.482786,40.895751000000004,41.320496999999996,41.755188000000004,42.196034000000004,42.637508000000004
ARM,Armenia,1.353502,1.3818700000000002,1.418275,1.461425,1.510178,1.563512,1.620594,1.6807130000000001,1.743306,1.807908,1.8741189999999999,1.941498,2.0095240000000003,2.077584,2.145004,2.211316,2.2760380000000002,2.3391330000000004,2.4011419999999997,2.4629380000000003,2.525067,2.587716,2.650484,2.71278,2.77375,2.832752,2.889583,2.944375,2.997419,3.049107,3.099759,3.148096,3.193696,3.2385919999999997,3.285593,3.3359349999999997,3.392264,3.451947,3.504667,3.5364730000000004,3.538164,3.5052489999999996,3.4428199999999998,3.363111,3.283664,3.217349,3.168213,3.1330810000000002,3.108691,3.08902,3.069597,3.0506860000000002,3.033976,3.017938,3.000715,2.981262,2.9583009999999996,2.932615,2.9076150000000003,2.8880939999999997,2.877314,2.876536,2.884239,2.897593,2.912403
ASM,American Samoa,0.018941,0.019287000000000002,0.019546,0.019699,0.019758,0.019747999999999998,0.019712,0.019671,0.01969,0.019827,0.020127000000000003,0.020605000000000002,0.021246,0.022029,0.02285,0.023675,0.024472999999999998,0.025235,0.02598,0.026698000000000003,0.027362,0.027982,0.028564,0.029102999999999997,0.029595,0.030045,0.030455,0.030833999999999997,0.031262,0.031842,0.032648,0.033697000000000005,0.034969,0.036413,0.037946,0.039521,0.041114,0.042741,0.044346,0.045894,0.047351,0.048681999999999996,0.0499,0.051025,0.052099,0.053158000000000004,0.054209,0.055227,0.056179999999999994,0.057049,0.057816,0.058496000000000006,0.059077,0.059495000000000006,0.059684,0.059557000000000006,0.059109,0.058366999999999995,0.05749,0.056675,0.056084,0.05575499999999999,0.055669,0.055716999999999996,0.05579099999999999
ATA,Antarctica,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
ATF,French Southern Territories,5.9e-05,5.9e-05,5.9e-05,5.9e-05,5.9e-05,5.9e-05,5.9e-05,5.9e-05,5.9e-05,5.9e-05,5.9e-05,6.14e-05,6.38e-05,6.620000000000001e-05,6.86e-05,7.099999999999999e-05,7.340000000000001e-05,7.58e-05,7.82e-05,8.06e-05,8.3e-05,8.4e-05,8.499999999999999e-05,8.6e-05,8.7e-05,8.8e-05,8.88e-05,8.96e-05,9.04e-05,9.120000000000001e-05,9.2e-05,9.379999999999999e-05,9.559999999999999e-05,9.740000000000001e-05,9.92e-05,0.000101,0.0001028,0.00010460000000000001,0.00010640000000000001,0.0001082,0.00011,0.00011240000000000001,0.00011479999999999999,0.00011719999999999999,0.0001196,0.000122,0.0001242,0.0001264,0.0001286,0.0001308,0.000133,0.000135,0.00013700000000000002,0.000139,0.00014099999999999998,0.000143,0.00014439999999999999,0.00014580000000000002,0.0001472,0.0001486,0.00015,0.00015,0.00015,0.00015,0.00015
