Country_FAO,scenario,decade,mean,median,sd,min,max,n_model,agreement,wilcox_p,spatial_scale
Albania,ssp126,2041-2050,10.3372713482259,9.35013843970912,6.56337073920631,4.32337962544142,17.3382959795271,3,100,0.0429962318806731,countries_admin
Albania,ssp126,2091-2100,11.337361085114,12.3746108266827,6.75269891880583,4.12605159466819,17.5114208339911,3,100,1.18378637245013e-16,countries_admin
Albania,ssp585,2041-2050,4.71069630149772,2.5736513605612,9.02949921470793,-3.05857706516017,14.6170146090921,3,66.6666666666667,0.0429962318806731,countries_admin
Albania,ssp585,2091-2100,-33.7345864605284,-33.8273093179891,8.82377985374984,-42.5116394934008,-24.8648105701954,3,100,1.18378637245013e-16,countries_admin
Algeria,ssp126,2041-2050,-4.50218399287432,-2.49147188970099,7.39621281551086,-17.4436164613671,6.53313840565678,10,80,0.10977660868535,countries_admin
Algeria,ssp126,2091-2100,-9.67028409395047,-9.63686775335967,5.47748896819922,-18.6954054900487,0.655376955699475,10,90,0.00351575473184625,countries_admin
Algeria,ssp585,2041-2050,-0.722438544794746,-2.36107494274608,8.59479928781955,-9.1753546865092,20.5791643072203,10,70,0.10977660868535,countries_admin
Algeria,ssp585,2091-2100,-15.6690028050688,-14.6530662066556,17.5491689466701,-35.0424009396952,12.8465055041387,10,80,0.00351575473184625,countries_admin
Angola,ssp126,2041-2050,-13.7893992255607,-9.70855870058103,8.51911891200259,-30.3444901827363,-3.45373125998978,10,100,4.75522173838556e-10,countries_admin
Angola,ssp126,2091-2100,-4.74999891835205,-5.32409834992586,15.4497834010604,-35.5352454485923,22.8290193808676,10,70,1.57807602368516e-26,countries_admin
Angola,ssp585,2041-2050,-24.6287825552971,-22.238097675192,9.96973844665698,-39.3969494738137,-8.77318209266358,10,100,4.75522173838556e-10,countries_admin
Angola,ssp585,2091-2100,-38.6365561791437,-35.1423112540099,14.2588288755296,-61.42024988246,-14.9279532279747,10,100,1.57807602368516e-26,countries_admin
Antigua and Barbuda,ssp126,2041-2050,-3.52587550663846,-4.06791061603798,3.90668478794004,-9.53390651265569,3.72973810159876,10,90,0.826896754598956,countries_admin
Antigua and Barbuda,ssp126,2091-2100,0.911572962692809,1.74190451164715,5.19639909878448,-6.56509439845974,7.81732542419203,10,60,2.7166720254842e-07,countries_admin
Antigua and Barbuda,ssp585,2041-2050,-2.18671616029764,-2.10197891924941,7.15309957408175,-13.4340430016495,11.5347458949184,10,60,0.826896754598956,countries_admin
Antigua and Barbuda,ssp585,2091-2100,-5.83447011431775,-8.38446619920478,12.9770145921049,-28.5996797561037,10.0883724325399,10,60,2.7166720254842e-07,countries_admin
Argentina,ssp126,2041-2050,-5.1762841457171,-4.3974359058867,4.38122965004373,-13.140061560959,0.464546158044764,10,90,0.0195612897362656,countries_admin
Argentina,ssp126,2091-2100,-6.82005460405408,-6.42277902932953,5.80293954042947,-17.4617517949779,1.86517435547891,10,90,4.08903345162127e-11,countries_admin
Argentina,ssp585,2041-2050,-6.53407835921833,-6.00174158353051,5.84880408594125,-17.274674501908,3.66477643778077,10,80,0.0195612897362656,countries_admin
Argentina,ssp585,2091-2100,-17.7886702907252,-20.822487161179,15.1624865304283,-42.4354448955058,11.3819567541658,10,90,4.08903345162127e-11,countries_admin
Australia,ssp126,2041-2050,-4.86219878079149,-5.62478465870565,3.32596921188101,-10.30865401621,0.143166046512423,10,90,2.366425167712e-09,countries_admin
Australia,ssp126,2091-2100,-6.71716328158129,-6.04467476538086,3.90152824512286,-13.696746090182,-0.669114259504123,10,100,8.0427546899878e-24,countries_admin
Australia,ssp585,2041-2050,-8.77159966469606,-9.67288356119949,2.79092630895324,-12.4763811588431,-4.09714432131678,10,100,2.366425167712e-09,countries_admin
Australia,ssp585,2091-2100,-21.6851082359676,-23.7474952934941,9.01470995114375,-31.0822423607662,-5.70501560774059,10,100,8.0427546899878e-24,countries_admin
Azerbaijan,ssp126,2041-2050,-0.355519361813238,-1.0970415814826,2.13358710225357,-1.99275135236301,2.76475706807526,4,75,1.29069624968998e-08,countries_admin
Azerbaijan,ssp126,2091-2100,-3.28787525385894,-2.97494308130137,5.40785630094664,-10.0753931219313,2.87377826909827,4,75,1.2019714912376e-17,countries_admin
Azerbaijan,ssp585,2041-2050,-5.88943718162985,-4.22039168893552,3.71654099905089,-11.4396072906005,-3.6773580580479,4,100,1.29069624968998e-08,countries_admin
Azerbaijan,ssp585,2091-2100,-24.1164879081339,-20.1066907643942,13.7330581611714,-43.7492909366038,-12.5032791671434,4,100,1.2019714912376e-17,countries_admin
Bahamas,ssp126,2041-2050,2.39795378448084,-0.333752223922187,8.27876493849939,-6.06780701398216,14.4169787111353,10,50,2.62425871019233e-08,countries_admin
Bahamas,ssp126,2091-2100,3.60759489774384,1.74991643587479,7.32604281164036,-8.82604202353604,14.338605056435,10,70,1.38879197615715e-07,countries_admin
Bahamas,ssp585,2041-2050,-6.23589674386091,-5.85187007850334,9.10309796617792,-17.9159527341643,6.11873687317421,10,70,2.62425871019233e-08,countries_admin
