spatial_scale,continent,figure_name,mean_ssp126_2041-2050,sd_ssp126_2041-2050,agreement_ssp126_2041-2050,mean_ssp585_2041-2050,sd_ssp585_2041-2050,agreement_ssp585_2041-2050,wilcox_p_ssp585_2041-2050,mean_ssp126_2091-2100,sd_ssp126_2091-2100,agreement_ssp126_2091-2100,mean_ssp585_2091-2100,sd_ssp585_2091-2100,agreement_ssp585_2091-2100,wilcox_p_ssp585_2091-2100
countries_admin,Africa,Algeria,-4.5,7.4,80,-0.7,8.6,70,,-9.7,5.5,90,-15.7,17.5,80,*
countries_admin,Africa,Angola,-13.8,8.5,100,-24.6,10,100,*,-4.7,15.4,70,-38.6,14.3,100,*
countries_admin,Africa,Benin,-7.6,3.6,100,-13.3,8.2,100,*,-1.4,5.1,60,-21.9,9.3,100,*
countries_admin,Africa,Cabo Verde,-6.3,11.9,60,-7.4,8.6,90,,-6.3,13,50,-23.3,12.9,90,*
countries_admin,Africa,Cameroon,-4.4,5.8,75,-9.3,8.6,88,*,-0.8,6.3,62,-19.2,6.3,100,*
countries_admin,Africa,Comoros,-2,11.2,50,-4.5,15.7,60,,0.9,8.9,50,-9.3,23.4,70,*
countries_admin,Africa,Congo,-7.3,5.5,90,-14.2,8.6,100,*,-3.1,6.1,50,-26.1,9.8,100,*
countries_admin,Africa,Côte d'Ivoire,-10.7,4.3,100,-15.9,7.8,100,*,-5.7,2.5,100,-30.1,10.6,100,*
countries_admin,Africa,Democratic Republic of the Congo,-9.4,4.9,100,-15.4,7.8,100,*,-4.6,6.3,60,-29.9,9.2,100,*
countries_admin,Africa,Djibouti,-4.7,4.1,75,-6.2,7.5,75,,-2.9,4.8,75,-24.4,7.8,100,*
countries_admin,Africa,Egypt,16.5,11.1,100,0,5.9,60,*,18.2,16.7,90,-17.4,22.4,70,*
countries_admin,Africa,Equatorial Guinea,-9.8,5.6,100,-17.4,9,100,*,-4.3,7.6,60,-28.6,9.8,100,*
countries_admin,Africa,Eritrea,-10,9.6,90,-12.1,10.9,100,,-7.8,13.5,80,-21.3,16,90,*
countries_admin,Africa,Gabon,-8.9,4.3,100,-15.2,8.1,100,*,-5,5.9,70,-26.2,6.7,100,*
countries_admin,Africa,Gambia,-14.2,7,100,-19.2,6.2,100,,-7.2,6.3,100,-36.3,11.8,100,*
countries_admin,Africa,Ghana,-11.2,4.1,100,-17.3,5.8,100,*,-3.3,4.4,70,-28.5,7.6,100,*
countries_admin,Africa,Guinea,-8.1,4.2,100,-11.9,7,90,*,-4.1,4.7,90,-23.4,12.2,90,*
countries_admin,Africa,Guinea-Bissau,-11.1,7,90,-14.7,7.7,90,,-5.5,7.8,90,-29.3,12.8,100,*
countries_admin,Africa,Kenya,-4,8.1,80,-3.2,7.1,70,,0.3,5,60,-20.9,9.9,100,*
countries_admin,Africa,Liberia,-13.2,5.3,100,-17,5,100,*,-9.7,4,100,-30.1,11.2,100,*
countries_admin,Africa,Libya,5.3,12.4,50,-0.3,13.6,60,*,7,21.8,60,-24.6,8.5,100,*
countries_admin,Africa,Madagascar,-4.1,5.7,70,-4.5,13.2,50,,0.8,9.3,50,-10,23.1,60,*
countries_admin,Africa,Mauritania,-10.7,6.2,90,-13.2,5.6,100,,-8.7,6.4,90,-28.7,12.6,100,*
countries_admin,Africa,Mauritius,-6.3,7.2,90,-8.3,10,100,,-9.3,7.4,100,-20.3,13.3,100,*
countries_admin,Africa,Morocco,2.8,11.1,60,15.9,14.4,90,*,-9.4,10.5,80,17.7,47.7,60,*
countries_admin,Africa,Mozambique,-5.2,5.2,90,-6,8.4,80,,-0.4,6.7,50,-9.8,23.6,60,*
countries_admin,Africa,Namibia,-12.2,12.4,100,-18.8,14.6,100,*,-9.2,15.4,60,-32.7,20.4,100,*
countries_admin,Africa,Nigeria,-7.2,3.1,100,-11.3,9.3,90,*,-2.4,5.1,70,-21.3,5.6,100,*
countries_admin,Africa,Sao Tome and Principe,-8.6,5.4,100,-14.5,8.7,100,*,-3.9,6.2,70,-22.8,10.1,100,*
countries_admin,Africa,Senegal,-16,7.4,100,-20.4,6.7,100,,-8.7,7.8,90,-38.5,12.8,100,*
countries_admin,Africa,Seychelles,-4.4,8.9,70,-6.8,9.9,90,,-3.6,7.6,50,-20,12,100,*
countries_admin,Africa,Sierra Leone,-10.1,6.7,100,-12.2,5.8,100,,-7.2,6.3,100,-26.1,12.3,100,*
countries_admin,Africa,Somalia,-6.2,4.5,90,-8.3,3.9,90,*,-4.4,5.2,70,-27.3,8.8,100,*
countries_admin,Africa,South Africa,-4.8,4.2,80,-6.7,4.9,90,*,-5.8,6.1,80,-15.8,12.1,90,*
countries_admin,Africa,Sudan,-15.1,6.2,100,-17.8,6.4,100,*,-12.2,5.4,100,-41,6.8,100,*
countries_admin,Africa,Togo,-11.4,5.5,100,-16.5,7.7,100,*,-1,6.7,60,-24.7,9.6,100,*
countries_admin,Africa,Tunisia,0.9,12.3,50,-4,12.4,60,*,-0.3,11.6,50,-22.5,17.3,90,*
countries_admin,Africa,United Republic of Tanzania,-3.5,11.1,50,-4.3,11.7,70,,0.7,8.7,50,-17.7,16.3,100,*
countries_admin,Americas,Antigua and Barbuda,-3.5,3.9,90,-2.2,7.2,60,,0.9,5.2,60,-5.8,13,60,*
countries_admin,Americas,Argentina,-5.2,4.4,90,-6.5,5.8,80,*,-6.8,5.8,90,-17.8,15.2,90,*
countries_admin,Americas,Bahamas,2.4,8.3,50,-6.2,9.1,70,*,3.6,7.3,70,-6.2,12.3,80,*
countries_admin,Americas,Barbados,-9.6,5.2,100,-11.4,6.4,90,,-6.8,4,90,-11.1,13.3,90,*
countries_admin,Americas,Belize,-4.1,9.6,60,-6.5,9.6,70,,-1.8,9.3,50,-5.4,21.2,60,
countries_admin,Americas,Brazil,-6.1,1.7,100,-6.9,2.4,100,,-2.3,3.1,70,-15.7,8.6,100,*
countries_admin,Americas,Canada,-5.5,2,100,-5,3,100,,-4.1,6.6,70,-16.9,11,90,*
countries_admin,Americas,Chile,-6.1,3.2,100,-5.6,3.8,100,,-8.9,5.2,100,-19.3,12.4,100,*
countries_admin,Americas,Colombia,-7.2,13.1,70,-6.7,8,80,,-8.5,9.5,70,-20,19.6,90,*
countries_admin,Americas,Costa Rica,-13.2,16.4,80,-9.8,14.5,80,,-13.6,12.8,100,-31.4,26.9,90,*
