fa_ffcl_shrt,scenario,decade,contnnt,spatial_scale,mean,median,sd,min,max,n_model,agreement,wilcox_p,SD > mean,Loss,,,,,,,,,,,
Kuwait,ssp585,2091-2100,Asia,countries,-68.95654349,-69.11396064,4.06256669,-73.20749526,-64.39075741,4,100,1.86E-23,FALSE,,,,,,,,,,,,
Iraq,ssp585,2091-2100,Asia,countries,-62.98968854,-64.45922389,7.497897332,-69.64402188,-54.86581985,3,100,6.76E-17,FALSE,,,,,,,,,,,,
Ecuador,ssp585,2091-2100,Americas,countries,-41.84511087,-40.65217103,21.17560196,-85.43821431,-12.50648587,10,100,1.39E-23,,,,,,,,,,,,,
Sudan,ssp585,2091-2100,Africa,countries,-40.70788265,-38.52457443,6.433915219,-50.09849315,-35.68388858,4,100,4.01E-18,,,,,,,,,,,,,
United Arab Emirates,ssp585,2091-2100,Asia,countries,-38.6739348,-30.96792243,19.15431898,-86.67019278,-24.93677824,10,100,2.13E-21,FALSE,,,,,,,,,,,,
Angola,ssp585,2091-2100,Africa,countries,-38.63655618,-35.14231125,14.25882888,-61.42024988,-14.92795323,10,100,1.58E-26,,,,,,,,,,,,,
Senegal,ssp585,2091-2100,Africa,countries,-38.5213945,-43.67806429,12.79969826,-51.37442641,-15.84849946,10,100,6.64E-28,,,,,,,,,,,,,
Ecuador (Galapagos),ssp585,2091-2100,Americas,countries,-38.14275559,-40.60663873,18.53259319,-75.16644168,-8.945985678,10,100,6.27E-24,,,,,,,,,,,,,
Peru,ssp585,2091-2100,Americas,countries,-37.28002237,-37.31644651,20.42420339,-81.53141432,-13.50343082,10,100,1.43E-24,,,,,,,,,,,,,
Saint Pierre and Miquelon,ssp585,2091-2100,Americas,countries,-36.53422077,-43.48189954,15.89167704,-60.7809454,-11.57215257,10,100,2.28E-21,,,,,,,,,,,,,
Gambia,ssp585,2091-2100,Africa,countries,-36.31495323,-39.75705133,11.8231554,-50.98161665,-17.29487673,10,100,6.39E-29,,,,,,,,,,,,,
Iran (Islamic Republic of),ssp585,2091-2100,Asia,countries,-34.93991624,-33.18413189,14.05516235,-71.34023517,-19.5664649,10,100,3.36E-17,FALSE,,,,,,,,,,,,
Guatemala,ssp585,2091-2100,Americas,countries,-34.75523114,-32.53698413,18.45106224,-66.73516761,-5.516569473,10,100,2.77E-15,,,,,,,,,,,,,
Bahrain,ssp585,2091-2100,Asia,countries,-34.7483278,-37.49601641,7.42784609,-40.05211954,-23.94915882,4,100,8.66E-12,FALSE,,,,,,,,,,,,
El Salvador,ssp585,2091-2100,Americas,countries,-34.66498383,-28.58783234,22.23631976,-74.85690737,-2.384539394,10,100,1.64E-13,,,,,,,,,,,,,
Uruguay,ssp585,2091-2100,Americas,countries,-34.0320782,-37.21840155,18.90840272,-57.5460233,-2.425707852,10,100,1.37E-18,,,,,,,,,,,,,
United States of America (Alaska),ssp585,2091-2100,Americas,countries,-33.42612086,-37.11133989,16.63900556,-62.26946892,-4.424922976,10,100,1.65E-19,,,,,,,,,,,,,
Oman,ssp585,2091-2100,Asia,countries,-32.99024686,-36.74669939,13.74198847,-50.42122287,-1.808569087,10,100,1.18E-21,FALSE,,,,,,,,,,,,
Namibia,ssp585,2091-2100,Africa,countries,-32.68713458,-31.23919666,20.40923068,-67.65859791,-4.895413019,10,100,1.80E-15,,,,,,,,,,,,,
Taiwan Province of China,ssp585,2091-2100,Asia,countries,-32.63468543,-30.4586874,10.85333124,-57.21265682,-15.73614577,10,100,5.12E-29,FALSE,,,,,,,,,,,,
Chagos Archipelago,ssp585,2091-2100,Asia,countries,-32.45613549,-30.12623028,11.09192843,-56.41014366,-19.22044645,10,100,7.65E-24,FALSE,,,,,,,,,,,,
Democratic People's Republic of Korea,ssp585,2091-2100,Asia,countries,-32.34829761,-33.83835216,26.10428772,-79.06142401,18.75970768,10,90,1.46E-11,FALSE,,,,,,,,,,,,
Qatar,ssp585,2091-2100,Asia,countries,-32.19796178,-33.69699763,22.3259169,-82.50002897,-6.842467978,10,100,1.41E-13,FALSE,,,,,,,,,,,,
Japan,ssp585,2091-2100,Asia,countries,-32.05205503,-30.72008857,14.60753749,-54.58892563,-3.933485748,10,100,1.20E-25,FALSE,,,,,,,,,,,,
Costa Rica,ssp585,2091-2100,Americas,countries,-31.4563386,-20.90643409,26.81548732,-72.61529658,0.798413281,10,90,5.29E-05,,,,,,,,,,,,,
Republic of Korea,ssp585,2091-2100,Asia,countries,-30.84256791,-34.46739624,19.47934589,-60.17010635,11.84808554,10,90,2.36E-20,FALSE,,,,,,,,,,,,
China,ssp585,2091-2100,Asia,countries,-30.6821331,-30.8604693,13.07422413,-51.23308325,-6.537960702,10,100,3.28E-25,FALSE,,,,,,,,,,,,
Liberia,ssp585,2091-2100,Africa,countries,-30.10620734,-28.78214198,11.15409133,-47.07419822,-16.50341735,10,100,9.45E-30,,,,,,,,,,,,,
Côte d'Ivoire,ssp585,2091-2100,Africa,countries,-30.07169149,-28.03097604,10.62000865,-46.19660827,-15.58833828,10,100,8.74E-32,,,,,,,,,,,,,
Democratic Republic of the Congo,ssp585,2091-2100,Africa,countries,-29.90670398,-28.80056685,9.217106193,-43.36533771,-13.55267379,10,100,2.95E-28,,,,,,,,,,,,,
Guinea-Bissau,ssp585,2091-2100,Africa,countries,-29.26178092,-31.16560268,12.77780834,-43.32061529,-7.174166273,10,100,3.11E-25,,,,,,,,,,,,,
Equatorial Guinea,ssp585,2091-2100,Africa,countries,-28.60804072,-27.47987976,9.809448412,-45.13529712,-15.47196201,10,100,1.15E-30,,,,,,,,,,,,,
Nicaragua,ssp585,2091-2100,Americas,countries,-28.56086486,-21.82325331,22.10175661,-66.49168408,-1.692513405,10,100,8.52E-09,,,,,,,,,,,,,
Ghana,ssp585,2091-2100,Africa,countries,-28.53771714,-25.80849143,7.592213933,-40.3467926,-18.27876552,10,100,4.62E-31,,,,,,,,,,,,,
Somalia,ssp585,2091-2100,Africa,countries,-27.31684331,-27.31565205,8.790176998,-39.52340469,-6.164921249,10,100,2.07E-28,,,,,,,,,,,,,
Yemen,ssp585,2091-2100,Asia,countries,-26.76051125,-28.54118685,10.8229101,-43.04330498,-3.762425243,10,100,6.66E-23,FALSE,,,,,,,,,,,,
United States of America (Hawaii),ssp585,2091-2100,Americas,countries,-26.57676976,-25.64602316,17.58764773,-48.65724803,-4.216985018,10,100,1.24E-08,,,,,,,,,,,,,
Turkmenistan,ssp585,2091-2100,Asia,countries,-26.40221313,-23.07528151,10.57895769,-41.77836343,-17.67992608,4,100,5.06E-21,FALSE,,,,,,,,,,,,
Gabon,ssp585,2091-2100,Africa,countries,-26.22347955,-24.76741337,6.692810536,-38.81080328,-14.44039945,10,100,9.15E-31,,,,,,,,,,,,,
Sri Lanka,ssp585,2091-2100,Asia,countries,-26.19937174,-29.48304502,9.397972709,-40.50291092,-10.29667082,10,100,1.41E-13,FALSE,,,,,,,,,,,,
Congo,ssp585,2091-2100,Africa,countries,-26.14779343,-25.71821197,9.774508712,-43.67288789,-12.34431643,10,100,1.52E-29,,,,,,,,,,,,,
Sierra Leone,ssp585,2091-2100,Africa,countries,-26.06921328,-23.01717935,12.29978461,-45.00467288,-8.763891552,10,100,1.98E-24,,,,,,,,,,,,,
Mauritania,ssp585,2091-2100,Africa,countries,-25.65684996,-25.84015167,12.21729106,-38.11543357,1.889459804,10,90,3.48E-20,,,,,,,,,,,,,
Kuwait,ssp585,2041-2050,Asia,countries,-25.60604454,-27.82205865,4.854225822,-28.42791507,-18.3521458,4,100,0.000101276,FALSE,1,,,,,,,,,,,
Brunei Darussalam,ssp585,2091-2100,Asia,countries,-25.57536221,-27.48187097,6.385265113,-33.98821638,-12.13778004,10,100,2.05E-27,FALSE,,,,,,,,,,,,
Bermuda,ssp585,2091-2100,Americas,countries,-25.2885453,-21.93805447,20.38950231,-59.66669483,-0.216125115,10,100,1.46E-16,,,,,,,,,,,,,
Indonesia,ssp585,2091-2100,Asia,countries,-24.91387227,-21.96933103,12.26615063,-41.26544033,-7.067349014,10,100,2.56E-17,FALSE,,,,,,,,,,,,
Togo,ssp585,2091-2100,Africa,countries,-24.72656582,-25.22800937,9.608128331,-37.48207824,-9.857018159,10,100,1.53E-28,,,,,,,,,,,,,
Jordan,ssp585,2091-2100,Asia,countries,-24.65622146,-27.20638062,6.870864051,-29.88739188,-16.87489189,3,100,4.65E-07,FALSE,,,,,,,,,,,,
Angola,ssp585,2041-2050,Africa,countries,-24.62878256,-22.23809768,9.969738447,-39.39694947,-8.773182093,10,100,4.76E-10,,,,,,,,,,,,,
Kuwait,ssp126,2091-2100,Asia,countries,-24.62125499,-23.89923533,6.406946727,-33.00183198,-17.68471733,4,100,1.86E-23,FALSE,,,,,,,,,,,,
Libya,ssp585,2091-2100,Africa,countries,-24.59064918,-23.47693553,8.494129003,-39.85065537,-7.661576498,10,100,1.08E-25,,,,,,,,,,,,,
Djibouti,ssp585,2091-2100,Africa,countries,-24.40092185,-26.23386279,7.771455026,-31.00802169,-14.12794015,4,100,6.41E-16,,,,,,,,,,,,,
Azerbaijan,ssp585,2091-2100,Asia,countries,-24.11648791,-20.10669076,13.73305816,-43.74929094,-12.50327917,4,100,1.20E-17,FALSE,,,,,,,,,,,,
Malaysia,ssp585,2091-2100,Asia,countries,-23.897064,-24.37578112,4.918746877,-29.64279807,-14.19634912,10,100,3.68E-31,FALSE,,,,,,,,,,,,
Saint Helena,ssp585,2091-2100,Africa,countries,-23.79938343,-25.25374727,10.43472158,-36.39445129,-3.640381011,10,100,1.32E-23,,,,,,,,,,,,,
