ISO3CD,country,reference,mean00_ssp126,mean50_ssp126,mean00_ssp585,mean50_ssp585,rel_change_mean50_ssp126,rel_change_mean50_ssp585,rel_change_mean00_ssp126,rel_change_mean00_ssp585
ABW,Aruba,0.1018119,0.10005,0.10727,0.11288000000000001,0.1115,5.360964680945949,9.515685298084021,-1.730544268400842,10.87112606679574
AFG,Afghanistan,29.1409657,62.18172,58.3892,51.07983,55.2136,100.36810242016105,89.47072848721689,113.38249610581713,75.28530291636835
AGO,Angola,23.0341171,40.88275,42.62871,40.48755,42.56314,85.06769682090398,84.78303212238161,77.48781002767413,75.77209416895775
AIA,Anguilla,0.013317599999999999,0.0139126,0.0165188,0.0139126,0.0165188,24.037364089625772,24.037364089625772,4.467771970925706,4.467771970925706
ALA,Åland Islands,0.027504099999999993,0.02787099999999999,0.02787099999999999,0.02787099999999999,0.02787099999999999,1.3339829334535451,1.3339829334535451,1.3339829334535451,1.3339829334535451
ALB,Albania,2.9750367,0.9061,2.3049,0.49616,1.8813799999999998,-22.52532548590073,-36.76111625782634,-69.5432328616316,-83.32255867633498
AND,Andorra,0.0821481,0.0627057,0.0770679,0.0627057,0.0770679,-6.184196591278443,-6.184196591278443,-23.667498091860917,-23.667498091860917
ARE,United Arab Emirates,7.6114558,15.50366,14.0044,23.72284,17.27774,83.99108354541059,126.99652279397067,103.68849806629635,211.67283399320274
ARG,Argentina,40.723502599999996,51.4359,51.85951,52.153670000000005,52.12107,27.345406679237865,27.987689349687734,26.30519654760738,28.067741402970604
ARM,Armenia,2.9115972,1.49627,2.48701,1.25378,2.17119,-14.582621524708154,-25.429588955505245,-48.609993168011016,-56.93841167315314
ASM,American Samoa,0.0570214,0.0385767,0.0538859,0.0385767,0.0538859,-5.498812726450068,-5.498812726450068,-32.34697850280772,-32.34697850280772
ATA,Antarctica,0.001,0.001,0.001,0.001,0.001,0,0,0,0
ATF,French Southern Territories,1.47899999999999e-4,1.5e-4,1.5e-4,1.5e-4,1.5e-4,1.4198782961467304,1.4198782961467304,1.4198782961467304,1.4198782961467304
ATG,Antigua and Barbuda,0.0872102,0.083,0.10813,0.07142,0.09963,23.987790419010622,14.241224077000162,-4.827646307427339,-18.10590962983688
AUS,Australia,21.9152305,35.42863,30.11887,45.53098,33.57312,37.43350771510253,53.19537706892932,61.662137206359745,107.75953052376065
